iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
13 , 4.0 , 0.7 , 0.7 , 28 , 28 , 28 , 84 , 4 , 11.587 , 11.587 , 9.867 , 9.867 , 1.232 , 0.949 , 30.239 , -0.22929555046014566 , 24.545 , 0.05 , 98.55415486037727
11 , 4.1000000000000005 , 0.6 , 0.6 , 40 , 42 , 42 , 124 , 4 , 9.638 , 9.638 , 8.535 , 8.535 , 1.321 , 0.964 , 30.995 , -0.20955551603537947 , 23.463 , 0.103 , 98.27299304618768
14 , 4.2 , 0.8 , 0.8 , 21 , 28 , 35 , 84 , 3 , 17.541 , 17.541 , 10.003 , 10.003 , 1.26 , 0.948 , 31.751 , -0.21956543782817822 , 25.199 , 0.05 , 104.64385166948804
11 , 4.300813008130081 , 0.8 , 0.8 , 18 , 28 , 41 , 87 , 3 , 21.678 , 21.678 , 9.579 , 9.579 , 1.283 , 0.947 , 32.514 , -0.20313581233408884 , 25.342 , 0.05 , 108.3571620017469
13 , 4.3999999999999995 , 0.7 , 0.7 , 21 , 34 , 50 , 105 , 3 , 22.612 , 22.612 , 10.382 , 10.382 , 1.304 , 0.954 , 33.263 , -0.2088802184950277 , 25.508 , 0.05 , 110.0941847841388
9 , 4.5 , 0.5 , 0.5 , 40 , 40 , 32 , 112 , 4 , 13.917 , 13.917 , 16.48 , 16.48 , 1.302 , 0.958 , 34.019 , -0.2120915758570434 , 26.128 , 0.05 , 107.49675176740033
10 , 4.600000000000001 , 0.8 , 0.8 , 18 , 28 , 35 , 81 , 3 , 21.678 , 21.678 , 11.637 , 11.637 , 1.295 , 0.944 , 34.775 , -0.2049485923579154 , 26.853 , 0.05 , 110.41546231119412
10 , 4.7 , 0.6 , 0.6 , 40 , 54 , 54 , 148 , 4 , 9.515 , 9.515 , 8.205 , 8.205 , 1.402 , 0.967 , 35.531 , -0.18543215495925586 , 25.343 , 0.134 , 97.81929418080142
11 , 4.800000000000001 , 0.7 , 0.7 , 24 , 40 , 50 , 114 , 3 , 18.635 , 18.635 , 10.732 , 10.732 , 1.351 , 0.957 , 36.287 , -0.19519953980792137 , 26.859 , 0.081 , 108.46719820156272
10 , 4.9 , 0.7 , 0.7 , 24 , 39 , 45 , 108 , 3 , 18.663 , 18.663 , 11.822 , 11.822 , 1.354 , 0.955 , 37.043 , -0.19322779364335946 , 27.358 , 0.081 , 109.5846652678521
18 , 5.0 , 0.8 , 0.8 , 18 , 32 , 40 , 90 , 3 , 21.478 , 21.478 , 11.314 , 11.314 , 1.306 , 0.946 , 37.799 , -0.20264784448474382 , 28.943 , 0.05 , 109.89262972511573
11 , 5.1 , 0.7 , 0.7 , 27 , 41 , 40 , 108 , 3 , 15.844 , 15.844 , 12.76 , 12.76 , 1.384 , 0.955 , 38.555 , -0.1832316901510857 , 27.858 , 0.103 , 108.70357864511804
19 , 5.2 , 0.7 , 0.7 , 36 , 42 , 30 , 108 , 4 , 8.096 , 8.096 , 10.666 , 10.666 , 1.369 , 0.954 , 39.311 , -0.1875713029850472 , 28.715 , 0.128 , 98.86160158349352
14 , 5.298387096774194 , 0.8 , 0.8 , 32 , 41 , 31 , 104 , 4 , 7.241 , 7.241 , 8.568 , 8.568 , 1.373 , 0.953 , 40.055 , -0.1693687845756084 , 29.173 , 0.134 , 95.90879698762322
10 , 5.3999999999999995 , 0.8 , 0.8 , 21 , 33 , 30 , 84 , 3 , 17.346 , 17.346 , 14.433 , 14.433 , 1.355 , 0.943 , 40.823 , -0.1848700577843871 , 30.128 , 0.081 , 110.87881033121577
15 , 5.5 , 0.6 , 0.6 , 24 , 42 , 42 , 108 , 3 , 25.293 , 25.293 , 18.843 , 18.843 , 1.385 , 0.953 , 41.579 , -0.18190200861606476 , 30.021 , 0.05 , 121.23629424901614
14 , 5.599999999999999 , 0.7 , 0.7 , 24 , 46 , 50 , 120 , 3 , 18.489 , 18.489 , 12.371 , 12.371 , 1.419 , 0.956 , 42.335 , -0.1723750767281702 , 29.834 , 0.103 , 110.96018345080742
10 , 5.7 , 0.6 , 0.6 , 40 , 47 , 29 , 116 , 4 , 9.58 , 9.58 , 15.353 , 15.353 , 1.415 , 0.955 , 43.091 , -0.17276720707088783 , 30.453 , 0.128 , 105.03352927036639
12 , 5.8 , 0.7 , 0.7 , 21 , 42 , 45 , 108 , 3 , 22.322 , 22.322 , 14.55 , 14.55 , 1.407 , 0.951 , 43.847 , -0.17290269626132443 , 31.163 , 0.081 , 115.97220797027072
17 , 5.9 , 0.5 , 0.5 , 48 , 70 , 50 , 168 , 4 , 10.851 , 10.851 , 14.006 , 14.006 , 1.458 , 0.968 , 44.603 , -0.16736252465565632 , 30.592 , 0.134 , 104.95722088833375
11 , 5.999999999999999 , 0.8 , 0.8 , 21 , 35 , 28 , 84 , 3 , 17.28 , 17.28 , 16.788 , 16.788 , 1.376 , 0.941 , 45.359 , -0.17639386458727085 , 32.964 , 0.081 , 113.168448717463
12 , 6.099706744868035 , 0.8 , 0.8 , 33 , 47 , 31 , 111 , 3 , 9.201 , 9.201 , 12.743 , 12.743 , 1.436 , 0.953 , 46.113 , -0.16163352659077712 , 32.112 , 0.149 , 102.04418766970272
