iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
1 , 4.0 , 0.5 , 30 , 30 , 90 , 3 , 8.325 , 8.325 , 8.325 , 0.524 , 0.952 , 9.167 , -0.4649708105403494 , 17.494274809160306 , 0.031 , 62.82495303825304
6 , 4.1 , 0.6 , 40 , 42 , 124 , 4 , 2.922 , 8.0 , 8.0 , 0.633 , 0.964 , 9.397 , -0.4367192566342315 , 14.845181674565561 , 0.103 , 65.5
3 , 4.2 , 0.5 , 30 , 33 , 96 , 3 , 8.273 , 8.273 , 8.273 , 0.537 , 0.954 , 9.626 , -0.46202201983448155 , 17.92551210428305 , 0.038 , 62.77334249895091
5 , 4.304347826086956 , 0.5 , 46 , 53 , 152 , 3 , 4.671 , 8.0 , 8.0 , 0.622 , 0.969 , 9.865 , -0.40032431961565407 , 15.860128617363344 , 0.103 , 65.5
2 , 4.4 , 0.5 , 30 , 36 , 102 , 3 , 8.229 , 8.229 , 8.229 , 0.534 , 0.956 , 10.084 , -0.46407277422320725 , 18.883895131086142 , 0.038 , 62.72856318182982
2 , 4.5 , 0.5 , 32 , 40 , 112 , 3 , 7.503 , 8.0 , 8.0 , 0.55 , 0.959 , 10.313 , -0.46090439899930935 , 18.75090909090909 , 0.05 , 62.5
3 , 4.6 , 0.5 , 30 , 39 , 108 , 3 , 8.189 , 8.189 , 8.189 , 0.531 , 0.957 , 10.542 , -0.4659717314693584 , 19.853107344632768 , 0.038 , 62.689320676463765
4 , 4.702702702702703 , 0.5 , 37 , 50 , 137 , 3 , 6.136 , 8.0 , 8.0 , 0.591 , 0.965 , 10.778 , -0.42450605652470086 , 18.23688663282572 , 0.081 , 64.5
2 , 4.8 , 0.5 , 30 , 42 , 114 , 3 , 8.155 , 8.155 , 8.155 , 0.55 , 0.958 , 11.001 , -0.4605211458062845 , 20.00181818181818 , 0.05 , 62.654632441931646
3 , 4.894736842105263 , 0.5 , 38 , 55 , 148 , 3 , 5.903 , 8.0 , 8.0 , 0.626 , 0.966 , 11.218 , -0.3884379054048662 , 17.920127795527158 , 0.103 , 65.5
3 , 5.0 , 0.5 , 30 , 45 , 120 , 3 , 8.124 , 8.124 , 8.124 , 0.547 , 0.959 , 11.459 , -0.4622304376626978 , 20.948811700182812 , 0.05 , 62.623738242253964
4 , 5.1 , 0.7 , 20 , 31 , 82 , 3 , 7.375 , 8.0 , 8.0 , 0.549 , 0.943 , 11.688 , -0.450778898360471 , 21.2896174863388 , 0.05 , 62.5
2 , 5.2 , 0.5 , 30 , 48 , 126 , 3 , 8.096 , 8.096 , 8.096 , 0.544 , 0.96 , 11.918 , -0.46388273610597 , 21.908088235294116 , 0.05 , 62.59604002736498
3 , 5.294117647058823 , 0.5 , 34 , 56 , 146 , 3 , 6.807 , 8.0 , 8.0 , 0.586 , 0.965 , 12.133 , -0.39425529528721603 , 20.704778156996586 , 0.081 , 64.5
4 , 5.4 , 0.7 , 20 , 34 , 88 , 3 , 7.331 , 8.0 , 8.0 , 0.545 , 0.945 , 12.376 , -0.453322255275477 , 22.70825688073394 , 0.05 , 62.5
2 , 5.5 , 0.6 , 24 , 42 , 108 , 3 , 7.668 , 8.0 , 8.0 , 0.542 , 0.953 , 12.605 , -0.46001863416821354 , 23.256457564575644 , 0.05 , 62.5
4 , 5.6 , 0.5 , 30 , 54 , 138 , 3 , 8.048 , 8.048 , 8.048 , 0.591 , 0.962 , 12.834 , -0.44930698472062275 , 21.715736040609137 , 0.081 , 64.54841373647403
2 , 5.7 , 0.7 , 20 , 37 , 94 , 3 , 7.291 , 8.0 , 8.0 , 0.541 , 0.947 , 13.063 , -0.4557245602524411 , 24.146025878003698 , 0.05 , 62.5
6 , 5.8 , 0.5 , 30 , 57 , 144 , 3 , 8.028 , 8.028 , 8.028 , 0.588 , 0.962 , 13.293 , -0.45087708429256934 , 22.607142857142858 , 0.081 , 64.52778433348314
2 , 6.0 , 0.5 , 26 , 52 , 130 , 3 , 9.785 , 9.785 , 9.785 , 0.554 , 0.958 , 13.751 , -0.4591332282090046 , 24.821299638989167 , 0.05 , 64.28488916375622
5 , 6.206896551724138 , 0.5 , 29 , 61 , 151 , 3 , 8.376 , 8.376 , 8.376 , 0.586 , 0.963 , 14.225 , -0.3823775005868906 , 24.274744027303754 , 0.081 , 64.87561474073806
2 , 6.3 , 0.7 , 20 , 43 , 106 , 3 , 7.227 , 8.0 , 8.0 , 0.586 , 0.949 , 14.439 , -0.4425264739194303 , 24.639931740614337 , 0.081 , 64.5
2 , 6.428571428571429 , 0.5 , 28 , 62 , 152 , 3 , 8.775 , 8.775 , 8.775 , 0.589 , 0.962 , 14.733 , -0.16439949845617352 , 25.013582342954162 , 0.081 , 65.27526380973157
1 , 6.48 , 0.5 , 25 , 56 , 137 , 3 , 10.286 , 10.286 , 10.286 , 0.608 , 0.958 , 14.851 , -0.2412032493525712 , 24.425986842105264 , 0.081 , 66.7856096105695
1 , 6.571428571428571 , 0.6 , 21 , 48 , 117 , 3 , 9.143 , 9.143 , 9.143 , 0.599 , 0.952 , 15.061 , -0.1544069941387078 , 25.14357262103506 , 0.081 , 65.643053419387
2 , 6.6923076923076925 , 0.5 , 26 , 61 , 148 , 3 , 9.711 , 9.711 , 9.711 , 0.598 , 0.96 , 15.338 , -0.3688202854147682 , 25.648829431438127 , 0.081 , 66.21101634109249
1 , 6.818181818181818 , 0.6 , 22 , 53 , 128 , 3 , 8.533 , 8.533 , 8.533 , 0.587 , 0.954 , 15.626 , -0.2638781320854702 , 26.620102214650768 , 0.081 , 65.03345866342369
1 , 6.857142857142857 , 0.6 , 21 , 51 , 123 , 3 , 9.114 , 9.114 , 9.114 , 0.595 , 0.953 , 15.715 , -0.01336905952141676 , 26.411764705882355 , 0.081 , 65.61412625174611
2 , 7.0 , 0.7 , 18 , 45 , 108 , 3 , 8.328 , 8.328 , 8.328 , 0.587 , 0.946 , 16.043 , -0.4402779875531576 , 27.330494037478704 , 0.081 , 64.82783543630066
