iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
1 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 2.797 , 9.918 , 14.405 , 9.918 , 14.405 , 0.757 , 0.903 , 25.93 , -0.35510822350246546 , 34.254 , 0.103 , 92.32338113475015
1 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 2.797 , 9.918 , 14.405 , 9.918 , 14.405 , 0.757 , 0.903 , 25.93 , -0.35510822350246546 , 34.254 , 0.103 , 92.32338113475015
2 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 2.797 , 9.918 , 14.405 , 9.918 , 14.405 , 0.757 , 0.903 , 25.93 , -0.35510822350246546 , 34.254 , 0.103 , 92.32338113475015
2 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 2.797 , 9.918 , 14.405 , 9.918 , 14.405 , 0.757 , 0.903 , 25.93 , -0.35510822350246546 , 34.254 , 0.103 , 92.32338113475015
2 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 2.797 , 9.918 , 14.405 , 9.918 , 14.405 , 0.757 , 0.903 , 25.93 , -0.35510822350246546 , 34.254 , 0.103 , 92.32338113475015
2 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 2.797 , 9.918 , 14.405 , 9.918 , 14.405 , 0.757 , 0.903 , 25.93 , -0.35510822350246546 , 34.254 , 0.103 , 92.32338113475015
1 , 11.555555555555555 , 0.5 , 0.5 , 48 , 52 , 28 , 152 , 128 , 4 , 3.333 , 10.015 , 15.153 , 10.015 , 15.153 , 0.723 , 0.913 , 26.483 , -0.3730888957052506 , 36.629 , 0.081 , 92.16803900523223
1 , 11.555555555555555 , 0.5 , 0.5 , 48 , 52 , 28 , 152 , 128 , 4 , 3.333 , 10.015 , 15.153 , 10.015 , 15.153 , 0.723 , 0.913 , 26.483 , -0.3730888957052506 , 36.629 , 0.081 , 92.16803900523223
3 , 11.6875 , 0.5 , 0.5 , 64 , 44 , 28 , 152 , 136 , 4 , 2.414 , 10.453 , 14.46 , 10.453 , 14.46 , 0.77 , 0.887 , 26.786 , -0.3402403412222885 , 34.787 , 0.103 , 92.91286212405646
3 , 11.815384615384616 , 0.5 , 0.5 , 52 , 48 , 28 , 148 , 128 , 4 , 3.046 , 10.671 , 15.494 , 10.671 , 15.494 , 0.728 , 0.902 , 27.079 , -0.3638411615932885 , 37.196 , 0.081 , 93.1651790912842
2 , 11.815384615384616 , 0.5 , 0.5 , 52 , 48 , 28 , 148 , 128 , 4 , 3.046 , 10.671 , 15.494 , 10.671 , 15.494 , 0.728 , 0.902 , 27.079 , -0.3638411615932885 , 37.196 , 0.081 , 93.1651790912842
4 , 12.1 , 0.5 , 0.5 , 60 , 44 , 28 , 148 , 132 , 4 , 2.597 , 11.14 , 15.406 , 11.14 , 15.406 , 0.771 , 0.886 , 27.731 , -0.33937775580176965 , 35.968 , 0.103 , 94.54545556173746
