iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
10 , 4.0 , 0.5 , 0.5 , 40 , 40 , 40 , 120 , 4 , 7.032 , 7.032 , 6.273 , 6.273 , 1.084 , 0.963 , 15.279 , -0.2874373503533564 , 14.095 , 0.05 , 88.30458932773558
7 , 4.099099099099099 , 0.5 , 0.5 , 27 , 43 , 74 , 144 , 3 , 15.648 , 15.648 , 6.555 , 6.555 , 1.109 , 0.964 , 15.657 , -0.2711652761630635 , 14.118 , 0.038 , 97.20282408926188
6 , 4.2 , 0.5 , 0.5 , 30 , 40 , 50 , 120 , 3 , 13.629 , 13.629 , 8.523 , 8.523 , 1.098 , 0.962 , 16.043 , -0.28200337731873093 , 14.611 , 0.038 , 97.15149397648925
7 , 4.299191374663073 , 0.6 , 0.6 , 21 , 34 , 53 , 108 , 3 , 15.551 , 15.551 , 6.684 , 6.684 , 1.1 , 0.955 , 16.422 , -0.2686909063309486 , 14.929 , 0.038 , 97.2347339263785
10 , 4.3999999999999995 , 0.6 , 0.6 , 30 , 36 , 36 , 102 , 3 , 9.524 , 9.524 , 7.898 , 7.898 , 1.096 , 0.956 , 16.807 , -0.2785782319734814 , 15.335 , 0.05 , 92.42216734064071
8 , 4.5 , 0.5 , 0.5 , 40 , 40 , 32 , 112 , 4 , 7.032 , 7.032 , 8.327 , 8.327 , 1.094 , 0.958 , 17.189 , -0.2805525595556388 , 15.712 , 0.05 , 90.3583587877391
7 , 4.599999999999999 , 0.6 , 0.6 , 30 , 36 , 33 , 99 , 3 , 9.524 , 9.524 , 8.826 , 8.826 , 1.101 , 0.954 , 17.571 , -0.2756502625803898 , 15.959 , 0.05 , 93.34983807758786
9 , 4.699604743083004 , 0.5 , 0.5 , 33 , 54 , 69 , 156 , 3 , 11.819 , 11.819 , 7.317 , 7.317 , 1.178 , 0.967 , 17.951 , -0.25528042018558056 , 15.239 , 0.081 , 96.13582230361361
7 , 4.800000000000001 , 0.6 , 0.6 , 24 , 40 , 50 , 114 , 3 , 12.816 , 12.816 , 7.381 , 7.381 , 1.119 , 0.957 , 18.335 , -0.27183664936115 , 16.385 , 0.05 , 95.19638893861861
7 , 4.9 , 0.5 , 0.5 , 33 , 44 , 40 , 117 , 3 , 11.944 , 11.944 , 11.139 , 11.139 , 1.128 , 0.959 , 18.717 , -0.27042857908370077 , 16.593 , 0.05 , 98.08269319518098
13 , 5.0 , 0.7 , 0.7 , 18 , 32 , 40 , 90 , 3 , 14.174 , 14.174 , 7.467 , 7.467 , 1.098 , 0.946 , 19.099 , -0.2712588584055643 , 17.394 , 0.038 , 96.64102223749846
8 , 5.1 , 0.5 , 0.5 , 27 , 41 , 40 , 108 , 3 , 15.69 , 15.69 , 12.636 , 12.636 , 1.13 , 0.955 , 19.481 , -0.26721187624645326 , 17.24 , 0.038 , 103.32657556771272
14 , 5.2 , 0.5 , 0.5 , 30 , 48 , 48 , 126 , 3 , 13.493 , 13.493 , 10.751 , 10.751 , 1.139 , 0.96 , 19.863 , -0.267558813385726 , 17.439 , 0.05 , 99.24482782062898
12 , 5.301075268817205 , 0.6 , 0.6 , 18 , 40 , 62 , 120 , 3 , 19.021 , 19.021 , 7.714 , 7.714 , 1.139 , 0.952 , 20.249 , -0.2509438603496081 , 17.778 , 0.038 , 101.735193243098
7 , 5.399999999999999 , 0.7 , 0.7 , 21 , 33 , 30 , 84 , 3 , 11.447 , 11.447 , 9.525 , 9.525 , 1.116 , 0.943 , 20.626 , -0.2637791051153553 , 18.482 , 0.05 , 95.97196677497205
11 , 5.5 , 0.6 , 0.6 , 24 , 42 , 42 , 108 , 3 , 12.78 , 12.78 , 9.521 , 9.521 , 1.13 , 0.953 , 21.008 , -0.26598691055831025 , 18.591 , 0.05 , 97.3004434100292
10 , 5.6 , 0.5 , 0.5 , 24 , 46 , 50 , 120 , 3 , 18.31 , 18.31 , 12.251 , 12.251 , 1.15 , 0.956 , 21.39 , -0.26126505913323994 , 18.6 , 0.038 , 105.56132693738905
6 , 5.7 , 0.5 , 0.5 , 24 , 52 , 65 , 141 , 3 , 18.193 , 18.193 , 10.333 , 10.333 , 1.176 , 0.959 , 21.772 , -0.2548054877221183 , 18.514 , 0.05 , 103.52613731533657
8 , 5.8 , 0.5 , 0.5 , 30 , 48 , 39 , 117 , 3 , 13.493 , 13.493 , 13.797 , 13.797 , 1.154 , 0.956 , 22.154 , -0.2599762015315272 , 19.198 , 0.05 , 102.29035888471695
15 , 5.899653979238754 , 0.5 , 0.5 , 51 , 59 , 34 , 144 , 3 , 6.857 , 6.857 , 11.991 , 11.991 , 1.246 , 0.962 , 22.535 , -0.22955250843449804 , 18.086 , 0.128 , 96.84766952062029
7 , 6.0 , 0.5 , 0.5 , 30 , 50 , 40 , 120 , 3 , 13.465 , 13.465 , 13.94 , 13.94 , 1.157 , 0.957 , 22.918 , -0.25935547084022464 , 19.808 , 0.05 , 102.40525336833876
8 , 6.099706744868035 , 0.5 , 0.5 , 33 , 47 , 31 , 111 , 3 , 11.902 , 11.902 , 16.483 , 16.483 , 1.16 , 0.953 , 23.299 , -0.25299797120542356 , 20.085 , 0.05 , 103.38422927213762
10 , 6.2 , 0.5 , 0.5 , 24 , 48 , 45 , 117 , 3 , 18.268 , 18.268 , 14.465 , 14.465 , 1.185 , 0.954 , 23.682 , -0.24823079972230028 , 19.985 , 0.05 , 107.7338764484887
7 , 6.3 , 0.5 , 0.5 , 24 , 53 , 55 , 132 , 3 , 18.176 , 18.176 , 12.696 , 12.696 , 1.186 , 0.957 , 24.064 , -0.24995067045074038 , 20.29 , 0.05 , 105.87239333109969
14 , 6.4 , 0.5 , 0.5 , 30 , 54 , 42 , 126 , 3 , 13.414 , 13.414 , 14.204 , 14.204 , 1.216 , 0.958 , 24.446 , -0.24029308724909587 , 20.104 , 0.081 , 104.617690657001
12 , 6.5 , 0.6 , 0.6 , 21 , 44 , 40 , 105 , 3 , 15.311 , 15.311 , 12.09 , 12.09 , 1.161 , 0.949 , 24.828 , -0.25265500708270267 , 21.385 , 0.05 , 102.40099655680606
4 , 6.6 , 0.6 , 0.6 , 24 , 42 , 30 , 96 , 3 , 12.78 , 12.78 , 14.571 , 14.571 , 1.155 , 0.946 , 25.21 , -0.252434123746708 , 21.827 , 0.05 , 102.35067606502886
11 , 6.700757575757578 , 0.6 , 0.6 , 18 , 43 , 44 , 105 , 3 , 18.941 , 18.941 , 12.262 , 12.262 , 1.183 , 0.946 , 25.595 , -0.23601100083349397 , 21.636 , 0.05 , 106.20260677094028
9 , 6.8 , 0.5 , 0.5 , 30 , 58 , 44 , 132 , 3 , 13.369 , 13.369 , 14.442 , 14.442 , 1.221 , 0.958 , 25.974 , -0.238937235564481 , 21.273 , 0.081 , 104.81080860056765
7 , 6.9 , 0.5 , 0.5 , 33 , 59 , 40 , 132 , 3 , 11.77 , 11.77 , 15.014 , 15.014 , 1.256 , 0.958 , 26.356 , -0.22766492055386484 , 20.984 , 0.103 , 104.7847398166054
12 , 7.0 , 0.6 , 0.6 , 18 , 45 , 45 , 108 , 3 , 18.892 , 18.892 , 12.508 , 12.508 , 1.188 , 0.946 , 26.738 , -0.24189910423356975 , 22.507 , 0.05 , 106.39958662209169
7 , 7.100840336134454 , 0.6 , 0.6 , 21 , 44 , 34 , 99 , 3 , 15.311 , 15.311 , 14.822 , 14.822 , 1.174 , 0.945 , 27.123 , -0.23740780121306632 , 23.103 , 0.05 , 105.13289005163483
4 , 7.200000000000001 , 0.6 , 0.6 , 21 , 42 , 30 , 93 , 3 , 15.352 , 15.352 , 16.619 , 16.619 , 1.181 , 0.942 , 27.502 , -0.2415281094025592 , 23.287 , 0.05 , 106.97044811959972
7 , 7.300000000000001 , 0.6 , 0.6 , 24 , 49 , 35 , 108 , 3 , 12.673 , 12.673 , 13.978 , 13.978 , 1.214 , 0.949 , 27.884 , -0.2353545105064403 , 22.969 , 0.081 , 103.65055858827904
6 , 7.4 , 0.5 , 0.5 , 21 , 56 , 55 , 132 , 3 , 21.772 , 21.772 , 15.331 , 15.331 , 1.228 , 0.953 , 28.266 , -0.23347331078636008 , 23.018 , 0.05 , 112.10360355487728
6 , 7.5 , 0.5 , 0.5 , 24 , 52 , 38 , 114 , 3 , 18.193 , 18.193 , 19.281 , 19.281 , 1.216 , 0.951 , 28.648 , -0.23569717082293246 , 23.559 , 0.05 , 112.47445686386524
5 , 7.6 , 0.5 , 0.5 , 21 , 55 , 50 , 126 , 3 , 21.791 , 21.791 , 16.776 , 16.776 , 1.232 , 0.952 , 29.03 , -0.23125872526721225 , 23.563 , 0.05 , 113.56752343401595
8 , 7.699218750000001 , 0.6 , 0.6 , 24 , 49 , 32 , 105 , 3 , 12.673 , 12.673 , 15.688 , 15.688 , 1.222 , 0.947 , 29.409 , -0.22322401225757071 , 24.066 , 0.081 , 105.36092745383426
10 , 7.8 , 0.5 , 0.5 , 27 , 51 , 30 , 108 , 3 , 15.507 , 15.507 , 22.801 , 22.801 , 1.219 , 0.948 , 29.794 , -0.23292134008459792 , 24.441 , 0.05 , 113.30809343591662
9 , 7.901960784313725 , 0.6 , 0.6 , 18 , 44 , 34 , 96 , 3 , 18.916 , 18.916 , 17.26 , 17.26 , 1.209 , 0.941 , 30.183 , -0.2116357002372482 , 24.965 , 0.05 , 111.17577016692101
4 , 8.0 , 0.5 , 0.5 , 24 , 56 , 40 , 120 , 3 , 18.127 , 18.127 , 19.516 , 19.516 , 1.223 , 0.951 , 30.558 , -0.23395821061748606 , 24.986 , 0.05 , 112.64342942167107
8 , 8.098765432098766 , 0.5 , 0.5 , 27 , 69 , 54 , 150 , 3 , 15.294 , 15.294 , 15.074 , 15.074 , 1.298 , 0.959 , 30.935 , -0.20188593087856993 , 23.833 , 0.103 , 108.36767274535588
6 , 8.198198198198199 , 0.6 , 0.6 , 18 , 47 , 37 , 102 , 3 , 18.846 , 18.846 , 16.595 , 16.595 , 1.211 , 0.942 , 31.315 , -0.2135406449801135 , 25.859 , 0.05 , 110.44136161646607
7 , 8.297872340425531 , 0.5 , 0.5 , 30 , 70 , 47 , 147 , 3 , 13.26 , 13.26 , 16.169 , 16.169 , 1.285 , 0.959 , 31.696 , -0.19713109388147132 , 24.666 , 0.103 , 107.42927873080805
11 , 8.4 , 0.6 , 0.6 , 27 , 54 , 30 , 111 , 3 , 10.738 , 10.738 , 16.789 , 16.789 , 1.261 , 0.948 , 32.086 , -0.21884537509888413 , 25.445 , 0.103 , 105.5276336007467
7 , 8.5 , 0.5 , 0.5 , 33 , 66 , 36 , 135 , 3 , 11.713 , 11.713 , 19.207 , 19.207 , 1.282 , 0.956 , 32.468 , -0.2171509653352907 , 25.326 , 0.103 , 108.92033143544754
8 , 8.6 , 0.5 , 0.5 , 30 , 56 , 28 , 114 , 3 , 13.391 , 13.391 , 24.782 , 24.782 , 1.275 , 0.948 , 32.85 , -0.2142313299913845 , 25.765 , 0.081 , 115.17291953837398
6 , 8.7 , 0.5 , 0.5 , 24 , 63 , 45 , 132 , 3 , 18.029 , 18.029 , 19.084 , 19.084 , 1.285 , 0.953 , 33.232 , -0.2145118767185628 , 25.861 , 0.081 , 114.11330630596736
3 , 8.8 , 0.5 , 0.5 , 21 , 56 , 40 , 117 , 3 , 21.772 , 21.772 , 22.278 , 22.278 , 1.261 , 0.948 , 33.614 , -0.2189768711669713 , 26.657 , 0.05 , 119.05044384497371
6 , 8.90625 , 0.5 , 0.5 , 24 , 66 , 48 , 138 , 3 , 17.993 , 17.993 , 18.545 , 18.545 , 1.288 , 0.954 , 34.019 , -0.1517638531741144 , 26.412 , 0.081 , 113.53803098943055
7 , 8.999999999999998 , 0.6 , 0.6 , 18 , 48 , 33 , 99 , 3 , 18.825 , 18.825 , 19.613 , 19.613 , 1.229 , 0.939 , 34.377 , -0.22400141777546162 , 27.972 , 0.05 , 113.43841635041142
7 , 9.1 , 0.5 , 0.5 , 24 , 54 , 30 , 108 , 3 , 18.159 , 18.159 , 27.16 , 27.16 , 1.262 , 0.945 , 34.759 , -0.21654128674750328 , 27.543 , 0.05 , 120.31943732256903
9 , 9.2 , 0.5 , 0.5 , 30 , 62 , 31 , 123 , 3 , 13.329 , 13.329 , 24.034 , 24.034 , 1.317 , 0.95 , 35.141 , -0.20218560918492934 , 26.683 , 0.103 , 115.36247010822353
4 , 9.306122448979592 , 0.5 , 0.5 , 21 , 55 , 35 , 111 , 3 , 21.791 , 21.791 , 25.857 , 25.857 , 1.278 , 0.945 , 35.547 , -0.15009420068808565 , 27.815 , 0.05 , 122.64792282678953
6 , 9.4 , 0.5 , 0.5 , 30 , 64 , 32 , 126 , 3 , 13.31 , 13.31 , 23.815 , 23.815 , 1.317 , 0.951 , 35.905 , -0.20257911643073384 , 27.263 , 0.103 , 115.12468896716355
5 , 9.5 , 0.5 , 0.5 , 27 , 68 , 40 , 135 , 3 , 15.303 , 15.303 , 21.169 , 21.169 , 1.323 , 0.954 , 36.287 , -0.2022836734123099 , 27.428 , 0.103 , 114.47178324498759
7 , 9.6 , 0.5 , 0.5 , 33 , 66 , 30 , 129 , 3 , 11.713 , 11.713 , 24.344 , 24.344 , 1.31 , 0.951 , 36.669 , -0.20523891582527526 , 27.992 , 0.103 , 114.05723155479382
4 , 9.696969696969697 , 0.5 , 0.5 , 27 , 63 , 33 , 123 , 3 , 15.353 , 15.353 , 24.989 , 24.989 , 1.296 , 0.95 , 37.04 , -0.17834696961394192 , 28.58 , 0.081 , 117.34224225004502
