iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
1 , 10.88 , 0.5 , 0.5 , 60 , 48 , 28 , 156 , 136 , 4 , 4.309 , 15.441 , 22.435 , 15.441 , 22.435 , 1.371 , 0.904 , 41.559 , -0.15322697037082184 , 30.313 , 0.103 , 124.87593810347678
1 , 10.88 , 0.5 , 0.5 , 60 , 48 , 28 , 156 , 136 , 4 , 4.309 , 15.441 , 22.435 , 15.441 , 22.435 , 1.371 , 0.904 , 41.559 , -0.15322697037082184 , 30.313 , 0.103 , 124.87593810347678
2 , 10.88 , 0.5 , 0.5 , 60 , 48 , 28 , 156 , 136 , 4 , 4.309 , 15.441 , 22.435 , 15.441 , 22.435 , 1.371 , 0.904 , 41.559 , -0.15322697037082184 , 30.313 , 0.103 , 124.87593810347678
2 , 10.88 , 0.5 , 0.5 , 60 , 48 , 28 , 156 , 136 , 4 , 4.309 , 15.441 , 22.435 , 15.441 , 22.435 , 1.371 , 0.904 , 41.559 , -0.15322697037082184 , 30.313 , 0.103 , 124.87593810347678
2 , 10.88 , 0.5 , 0.5 , 60 , 48 , 28 , 156 , 136 , 4 , 4.309 , 15.441 , 22.435 , 15.441 , 22.435 , 1.371 , 0.904 , 41.559 , -0.15322697037082184 , 30.313 , 0.103 , 124.87593810347678
2 , 10.88 , 0.5 , 0.5 , 60 , 48 , 28 , 156 , 136 , 4 , 4.309 , 15.441 , 22.435 , 15.441 , 22.435 , 1.371 , 0.904 , 41.559 , -0.15322697037082184 , 30.313 , 0.103 , 124.87593810347678
1 , 11.0 , 0.5 , 0.5 , 52 , 52 , 28 , 156 , 132 , 4 , 5.057 , 15.421 , 23.342 , 15.421 , 23.342 , 1.365 , 0.914 , 42.017 , -0.1617819779274372 , 30.782 , 0.103 , 125.76262543867985
2 , 11.0 , 0.5 , 0.5 , 52 , 52 , 28 , 156 , 132 , 4 , 5.057 , 15.421 , 23.342 , 15.421 , 23.342 , 1.365 , 0.914 , 42.017 , -0.1617819779274372 , 30.782 , 0.103 , 125.76262543867985
4 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 4.662 , 16.53 , 24.009 , 16.53 , 24.009 , 1.376 , 0.903 , 43.217 , -0.1508710275580465 , 31.408 , 0.103 , 127.5389685579169
3 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 4.662 , 16.53 , 24.009 , 16.53 , 24.009 , 1.376 , 0.903 , 43.217 , -0.1508710275580465 , 31.408 , 0.103 , 127.5389685579169
3 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 4.662 , 16.53 , 24.009 , 16.53 , 24.009 , 1.376 , 0.903 , 43.217 , -0.1508710275580465 , 31.408 , 0.103 , 127.5389685579169
2 , 11.555555555555555 , 0.5 , 0.5 , 48 , 52 , 28 , 152 , 128 , 4 , 5.554 , 16.692 , 25.255 , 16.692 , 25.255 , 1.343 , 0.913 , 44.139 , -0.16841217470090847 , 32.866 , 0.081 , 127.94673167538704
1 , 11.636363636363637 , 0.5 , 0.5 , 44 , 56 , 28 , 156 , 128 , 4 , 6.144 , 16.224 , 25.432 , 16.224 , 25.432 , 1.342 , 0.92 , 44.448 , -0.17361681611402469 , 33.121 , 0.081 , 127.65579334840639
2 , 11.6875 , 0.5 , 0.5 , 64 , 44 , 28 , 152 , 136 , 4 , 4.023 , 17.421 , 24.1 , 17.421 , 24.1 , 1.394 , 0.887 , 44.643 , -0.13434265044638244 , 32.025 , 0.103 , 128.52143687342743
3 , 11.815384615384616 , 0.5 , 0.5 , 52 , 48 , 28 , 148 , 128 , 4 , 5.077 , 17.786 , 25.823 , 17.786 , 25.823 , 1.352 , 0.902 , 45.131 , -0.1580541311519844 , 33.381 , 0.081 , 129.608631818807
3 , 11.815384615384616 , 0.5 , 0.5 , 52 , 48 , 28 , 148 , 128 , 4 , 5.077 , 17.786 , 25.823 , 17.786 , 25.823 , 1.352 , 0.902 , 45.131 , -0.1580541311519844 , 33.381 , 0.081 , 129.608631818807
6 , 12.1 , 0.5 , 0.5 , 60 , 44 , 28 , 148 , 132 , 4 , 4.329 , 18.566 , 25.676 , 18.566 , 25.676 , 1.398 , 0.886 , 46.219 , -0.13225363374862859 , 33.061 , 0.103 , 131.2424259362291
5 , 12.1 , 0.5 , 0.5 , 60 , 44 , 28 , 148 , 132 , 4 , 4.329 , 18.566 , 25.676 , 18.566 , 25.676 , 1.398 , 0.886 , 46.219 , -0.13225363374862859 , 33.061 , 0.103 , 131.2424259362291
2 , 12.212121212121213 , 0.5 , 0.5 , 44 , 52 , 28 , 148 , 124 , 4 , 6.166 , 18.193 , 27.513 , 18.193 , 27.513 , 1.354 , 0.911 , 46.647 , -0.16370529046922327 , 34.451 , 0.081 , 131.70628465408737
4 , 12.272727272727273 , 0.5 , 0.5 , 55 , 50 , 30 , 155 , 135 , 5 , 3.799 , 14.082 , 19.917 , 14.082 , 19.917 , 1.365 , 0.903 , 46.878 , -0.15413649339407642 , 34.343 , 0.103 , 120.99890154479479
1 , 12.4 , 0.5 , 0.5 , 40 , 56 , 28 , 152 , 124 , 4 , 6.911 , 17.832 , 27.937 , 17.832 , 27.937 , 1.356 , 0.919 , 47.365 , -0.16787581691959186 , 34.93 , 0.081 , 131.76828894816808
3 , 12.571428571428571 , 0.5 , 0.5 , 56 , 44 , 28 , 144 , 128 , 4 , 4.683 , 19.873 , 27.475 , 19.873 , 27.475 , 1.373 , 0.885 , 48.019 , -0.13976975923741508 , 34.974 , 0.081 , 133.34872050106338
4 , 12.571428571428571 , 0.5 , 0.5 , 56 , 44 , 28 , 144 , 128 , 4 , 4.683 , 19.873 , 27.475 , 19.873 , 27.475 , 1.373 , 0.885 , 48.019 , -0.13976975923741508 , 34.974 , 0.081 , 133.34872050106338
3 , 12.692307692307692 , 0.5 , 0.5 , 52 , 50 , 30 , 152 , 132 , 4 , 5.067 , 18.606 , 26.309 , 18.606 , 26.309 , 1.402 , 0.902 , 48.481 , -0.14159783732111808 , 34.58 , 0.103 , 131.91515945771337
2 , 12.818181818181818 , 0.5 , 0.5 , 66 , 45 , 30 , 156 , 141 , 3 , 5.173 , 24.932 , 33.25 , 24.932 , 33.25 , 1.509 , 0.882 , 48.962 , -0.09259363555279071 , 32.447 , 0.128 , 145.18204111711674
2 , 12.916666666666666 , 0.5 , 0.5 , 36 , 60 , 28 , 156 , 124 , 4 , 7.876 , 18.008 , 29.101 , 18.008 , 29.101 , 1.367 , 0.923 , 49.338 , -0.16771153155055363 , 36.092 , 0.081 , 133.1090764240012
3 , 13.0 , 0.5 , 0.5 , 40 , 52 , 28 , 144 , 120 , 4 , 6.935 , 19.993 , 30.22 , 19.993 , 30.22 , 1.369 , 0.91 , 49.656 , -0.15763547269616324 , 36.272 , 0.081 , 136.21350057067482
5 , 13.090909090909092 , 0.5 , 0.5 , 44 , 54 , 30 , 152 , 128 , 4 , 6.155 , 19.011 , 27.948 , 19.011 , 27.948 , 1.373 , 0.911 , 50.004 , -0.1573884719108728 , 36.42 , 0.081 , 132.95840138284765
2 , 13.257142857142858 , 0.5 , 0.5 , 40 , 58 , 30 , 156 , 128 , 4 , 6.9 , 18.607 , 28.302 , 18.607 , 28.302 , 1.375 , 0.919 , 50.639 , -0.16160518973624283 , 36.828 , 0.081 , 132.90908954102468
