Link Length (mm),Calculated Mass (kg)
150,0.3577
151.0,0.3586
152.0,0.3595
153.0,0.3604
154.0,0.3613
155.0,0.3621
156.0,0.363
157.0,0.3639
158.0,0.3648
159.0,0.3657
160.0,0.3666
161.0,0.3674
162.0,0.3683
163.0,0.3692
164.0,0.3701
165.0,0.3709
166.0,0.3718
167.0,0.3727
168.0,0.3735
169.0,0.3744
170.0,0.3753
171.0,0.3761
172.0,0.377
173.0,0.3779
174.0,0.3787
175.0,0.3796
176.0,0.3805
177.0,0.3813
178.0,0.3822
179.0,0.383
180.0,0.3839
181.0,0.3848
182.0,0.3856
183.0,0.3865
184.0,0.3873
185.0,0.3882
186.0,0.389
187.0,0.3899
188.0,0.3907
189.0,0.3916
190.0,0.3924
191.0,0.3933
192.0,0.3941
193.0,0.395
194.0,0.3958
195.0,0.3967
196.0,0.3975
197.0,0.3984
198.0,0.3992
199.0,0.4001
200.0,0.4009
201.0,0.4017
202.0,0.4026
203.0,0.4034
204.0,0.4043
205.0,0.4051
206.0,0.4059
207.0,0.4068
208.0,0.4076
209.0,0.4085
210.0,0.4093
211.0,0.4101
212.0,0.411
213.0,0.4118
214.0,0.4127
215.0,0.4135
216.0,0.4143
217.0,0.4152
218.0,0.416
219.0,0.4168
220.0,0.4177
221.0,0.4185
222.0,0.4193
223.0,0.4202
224.0,0.421
225.0,0.4218
226.0,0.4227
227.0,0.4235
228.0,0.4243
229.0,0.4252
230.0,0.426
231.0,0.4268
232.0,0.4276
233.0,0.4285
234.0,0.4293
235.0,0.4301
236.0,0.431
237.0,0.4318
238.0,0.4326
239.0,0.4334
240.0,0.4343
241.0,0.4351
242.0,0.4359
243.0,0.4367
244.0,0.4376
245.0,0.4384
246.0,0.4392
247.0,0.4401
248.0,0.4409
249.0,0.4417
250.0,0.4425
251.0,0.4433
252.0,0.4442
253.0,0.445
254.0,0.4458
255.0,0.4466
256.0,0.4475
257.0,0.4483
258.0,0.4491
259.0,0.4499
260.0,0.4507
261.0,0.4516
262.0,0.4524
263.0,0.4532
264.0,0.454
265.0,0.4549
266.0,0.4557
267.0,0.4565
268.0,0.4573
269.0,0.4581
270.0,0.4589
271.0,0.4598
272.0,0.4606
273.0,0.4614
274.0,0.4622
275.0,0.463
276.0,0.4639
277.0,0.4647
278.0,0.4655
279.0,0.4663
280.0,0.4671
281.0,0.4679
282.0,0.4688
283.0,0.4696
284.0,0.4704
285.0,0.4712
286.0,0.472
287.0,0.4728
288.0,0.4737
289.0,0.4745
290.0,0.4753
291.0,0.4761
292.0,0.4769
293.0,0.4777
294.0,0.4785
295.0,0.4794
296.0,0.4802
297.0,0.481
298.0,0.4818
299.0,0.4826
300.0,0.4834
301.0,0.4842
302.0,0.4851
303.0,0.4859
304.0,0.4867
305.0,0.4875
306.0,0.4883
307.0,0.4891
308.0,0.4899
309.0,0.4907
310.0,0.4916
311.0,0.4924
312.0,0.4932
313.0,0.494
314.0,0.4948
315.0,0.4956
316.0,0.4964
317.0,0.4972
318.0,0.498
319.0,0.4989
320.0,0.4997
321.0,0.5005
322.0,0.5013
323.0,0.5021
324.0,0.5029
325.0,0.5037
326.0,0.5045
327.0,0.5053
328.0,0.5062
329.0,0.507
330.0,0.5078
331.0,0.5086
332.0,0.5094
333.0,0.5102
334.0,0.511
335.0,0.5118
336.0,0.5126
337.0,0.5134
338.0,0.5142
339.0,0.5151
340.0,0.5159
341.0,0.5167
342.0,0.5175
343.0,0.5183
344.0,0.5191
345.0,0.5199
346.0,0.5207
347.0,0.5215
348.0,0.5223
349.0,0.5231
350.0,0.5239
