Link Length (mm),Calculated Mass (kg)
150,0.6085
151.0,0.6109
152.0,0.6132
153.0,0.6156
154.0,0.618
155.0,0.6204
156.0,0.6227
157.0,0.6251
158.0,0.6275
159.0,0.6299
160.0,0.6323
161.0,0.6347
162.0,0.6371
163.0,0.6395
164.0,0.6419
165.0,0.6443
166.0,0.6467
167.0,0.6491
168.0,0.6515
169.0,0.6539
170.0,0.6563
171.0,0.6587
172.0,0.6611
173.0,0.6635
174.0,0.666
175.0,0.6684
176.0,0.6708
177.0,0.6732
178.0,0.6757
179.0,0.6781
180.0,0.6805
181.0,0.6829
182.0,0.6854
183.0,0.6878
184.0,0.6903
185.0,0.6927
186.0,0.6952
187.0,0.6976
188.0,0.7001
189.0,0.7025
190.0,0.705
191.0,0.7074
192.0,0.7099
193.0,0.7123
194.0,0.7148
195.0,0.7173
196.0,0.7197
197.0,0.7222
198.0,0.7247
199.0,0.7272
200.0,0.7296
201.0,0.7321
202.0,0.7346
203.0,0.7371
204.0,0.7396
205.0,0.7421
206.0,0.7446
207.0,0.7471
208.0,0.7495
209.0,0.752
210.0,0.7545
211.0,0.757
212.0,0.7596
213.0,0.7621
214.0,0.7646
215.0,0.7671
216.0,0.7696
217.0,0.7721
218.0,0.7746
219.0,0.7771
220.0,0.7797
221.0,0.7822
222.0,0.7847
223.0,0.7873
224.0,0.7898
225.0,0.7923
226.0,0.7949
227.0,0.7974
228.0,0.7999
229.0,0.8025
230.0,0.805
231.0,0.8076
232.0,0.8101
233.0,0.8127
234.0,0.8152
235.0,0.8178
236.0,0.8203
237.0,0.8229
238.0,0.8255
239.0,0.828
240.0,0.8306
241.0,0.8332
242.0,0.8357
243.0,0.8383
244.0,0.8409
245.0,0.8435
246.0,0.846
247.0,0.8486
248.0,0.8512
249.0,0.8538
250.0,0.8564
251.0,0.859
252.0,0.8616
253.0,0.8642
254.0,0.8668
255.0,0.8694
256.0,0.872
257.0,0.8746
258.0,0.8772
259.0,0.8798
260.0,0.8824
261.0,0.885
262.0,0.8876
263.0,0.8903
264.0,0.8929
265.0,0.8955
266.0,0.8981
267.0,0.9008
268.0,0.9034
269.0,0.906
270.0,0.9087
271.0,0.9113
272.0,0.9139
273.0,0.9166
274.0,0.9192
275.0,0.9219
276.0,0.9245
277.0,0.9272
278.0,0.9298
279.0,0.9325
280.0,0.9351
281.0,0.9378
282.0,0.9404
283.0,0.9431
284.0,0.9458
285.0,0.9484
286.0,0.9511
287.0,0.9538
288.0,0.9565
289.0,0.9591
290.0,0.9618
291.0,0.9645
292.0,0.9672
293.0,0.9699
294.0,0.9726
295.0,0.9753
296.0,0.9779
297.0,0.9806
298.0,0.9833
299.0,0.986
300.0,0.9887
301.0,0.9914
302.0,0.9941
303.0,0.9969
304.0,0.9996
305.0,1.0023
306.0,1.005
307.0,1.0077
308.0,1.0104
309.0,1.0132
310.0,1.0159
311.0,1.0186
312.0,1.0213
313.0,1.0241
314.0,1.0268
315.0,1.0295
316.0,1.0323
317.0,1.035
318.0,1.0378
319.0,1.0405
320.0,1.0432
321.0,1.046
322.0,1.0487
323.0,1.0515
324.0,1.0543
325.0,1.057
326.0,1.0598
327.0,1.0625
328.0,1.0653
329.0,1.0681
330.0,1.0708
331.0,1.0736
332.0,1.0764
333.0,1.0792
334.0,1.0819
335.0,1.0847
336.0,1.0875
337.0,1.0903
338.0,1.0931
339.0,1.0959
340.0,1.0987
341.0,1.1014
342.0,1.1042
343.0,1.107
344.0,1.1098
345.0,1.1126
346.0,1.1154
347.0,1.1183
348.0,1.1211
349.0,1.1239
350.0,1.1267
