iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
9 , 4.0 , 0.5 , 0.5 , 30 , 40 , 56 , 126 , 3 , 8.223 , 8.223 , 4.522 , 4.522 , 0.51 , 0.963 , 9.218 , -0.4771684734300782 , 18.075 , 0.038 , 69.24509532384404
8 , 4.099099099099099 , 0.5 , 0.5 , 27 , 43 , 74 , 144 , 3 , 9.441 , 9.441 , 3.955 , 3.955 , 0.521 , 0.964 , 9.447 , -0.4652511336950139 , 18.132 , 0.038 , 69.895703867188
5 , 4.2 , 0.5 , 0.5 , 30 , 40 , 50 , 120 , 3 , 8.223 , 8.223 , 5.142 , 5.142 , 0.511 , 0.962 , 9.679 , -0.47570770672772034 , 18.941 , 0.038 , 69.86473469914851
6 , 4.3 , 0.5 , 0.5 , 24 , 44 , 85 , 153 , 3 , 11.074 , 11.074 , 3.883 , 3.883 , 0.546 , 0.963 , 9.91 , -0.4650090863482905 , 18.15 , 0.038 , 71.45737685453867
6 , 4.4 , 0.5 , 0.5 , 30 , 36 , 36 , 102 , 3 , 8.274 , 8.274 , 6.862 , 6.862 , 0.514 , 0.956 , 10.14 , -0.4709168141569102 , 19.728 , 0.038 , 71.63637898554869
6 , 4.5 , 0.5 , 0.5 , 24 , 36 , 45 , 105 , 3 , 11.205 , 11.205 , 6.51 , 6.51 , 0.509 , 0.955 , 10.371 , -0.4721542482492171 , 20.375 , 0.031 , 74.21556853247503
6 , 4.6 , 0.5 , 0.5 , 30 , 39 , 39 , 108 , 3 , 8.235 , 8.235 , 6.737 , 6.737 , 0.515 , 0.957 , 10.601 , -0.4714978501799776 , 20.584 , 0.038 , 71.47158267923366
8 , 4.699604743083004 , 0.5 , 0.5 , 33 , 54 , 69 , 156 , 3 , 7.131 , 7.131 , 4.414 , 4.414 , 0.591 , 0.967 , 10.831 , -0.4487594452065032 , 18.327 , 0.081 , 70.04527945651355
6 , 4.8 , 0.5 , 0.5 , 30 , 38 , 34 , 102 , 3 , 8.247 , 8.247 , 7.798 , 7.798 , 0.518 , 0.954 , 11.062 , -0.4684625621382791 , 21.355 , 0.038 , 72.5457703055408
7 , 4.9 , 0.5 , 0.5 , 33 , 44 , 40 , 117 , 3 , 7.206 , 7.206 , 6.721 , 6.721 , 0.534 , 0.959 , 11.292 , -0.4662483208622845 , 21.146 , 0.05 , 70.42655822775919
10 , 5.0 , 0.5 , 0.5 , 30 , 40 , 35 , 105 , 3 , 8.223 , 8.223 , 7.919 , 7.919 , 0.519 , 0.955 , 11.523 , -0.46833481281083433 , 22.202 , 0.038 , 72.64155831494531
8 , 5.1 , 0.5 , 0.5 , 27 , 41 , 40 , 108 , 3 , 9.466 , 9.466 , 7.624 , 7.624 , 0.525 , 0.955 , 11.753 , -0.46699568116908186 , 22.387 , 0.038 , 73.59036725918668
14 , 5.2 , 0.5 , 0.5 , 30 , 48 , 48 , 126 , 3 , 8.141 , 8.141 , 6.487 , 6.487 , 0.541 , 0.96 , 11.984 , -0.4647672852997668 , 22.152 , 0.05 , 71.12771278511282
10 , 5.301075268817205 , 0.6 , 0.6 , 18 , 40 , 62 , 120 , 3 , 11.476 , 11.476 , 4.654 , 4.654 , 0.537 , 0.952 , 12.217 , -0.4497678512792873 , 22.75 , 0.038 , 72.63023325666913
5 , 5.4 , 0.5 , 0.5 , 30 , 44 , 37 , 111 , 3 , 8.179 , 8.179 , 8.135 , 8.135 , 0.544 , 0.956 , 12.445 , -0.46079894753524114 , 22.877 , 0.05 , 72.81381490690714
10 , 5.5 , 0.5 , 0.5 , 24 , 42 , 42 , 108 , 3 , 11.103 , 11.103 , 8.272 , 8.272 , 0.535 , 0.953 , 12.675 , -0.46222478975146464 , 23.692 , 0.038 , 75.87462523463338
10 , 5.6 , 0.5 , 0.5 , 24 , 46 , 50 , 120 , 3 , 11.047 , 11.047 , 7.392 , 7.392 , 0.536 , 0.956 , 12.906 , -0.46359811478668045 , 24.078 , 0.038 , 74.93866725222475
6 , 5.7 , 0.5 , 0.5 , 24 , 52 , 65 , 141 , 3 , 10.977 , 10.977 , 6.234 , 6.234 , 0.564 , 0.959 , 13.136 , -0.456750105388108 , 23.291 , 0.05 , 73.7107695135864
8 , 5.8 , 0.5 , 0.5 , 30 , 48 , 39 , 117 , 3 , 8.141 , 8.141 , 8.324 , 8.324 , 0.547 , 0.956 , 13.366 , -0.46044475413007757 , 24.435 , 0.05 , 72.96518319377923
12 , 5.901960784313726 , 0.5 , 0.5 , 36 , 50 , 34 , 120 , 3 , 6.391 , 6.391 , 8.622 , 8.622 , 0.593 , 0.957 , 13.601 , -0.4257221204959421 , 22.936 , 0.081 , 73.51242500569134
5 , 6.0 , 0.5 , 0.5 , 30 , 50 , 40 , 120 , 3 , 8.124 , 8.124 , 8.411 , 8.411 , 0.548 , 0.957 , 13.827 , -0.4602452110579717 , 25.232 , 0.05 , 73.03450286556439
8 , 6.099706744868035 , 0.5 , 0.5 , 33 , 47 , 31 , 111 , 3 , 7.181 , 7.181 , 9.944 , 9.944 , 0.547 , 0.953 , 14.057 , -0.45512727281018567 , 25.698 , 0.05 , 73.62515166085637
10 , 6.2 , 0.5 , 0.5 , 24 , 48 , 45 , 117 , 3 , 11.022 , 11.022 , 8.727 , 8.727 , 0.564 , 0.954 , 14.288 , -0.4532854597319316 , 25.333 , 0.05 , 76.24943879058819
7 , 6.3 , 0.5 , 0.5 , 24 , 53 , 55 , 132 , 3 , 10.966 , 10.966 , 7.66 , 7.66 , 0.566 , 0.957 , 14.519 , -0.45432202966707236 , 25.652 , 0.05 , 75.12634397643015
14 , 6.4 , 0.5 , 0.5 , 30 , 54 , 42 , 126 , 3 , 8.093 , 8.093 , 8.57 , 8.57 , 0.605 , 0.958 , 14.749 , -0.4420262323944647 , 24.379 , 0.081 , 75.16267336305728
