iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
1 , 4.0 , 0.5 , 30 , 30 , 90 , 3 , 8.371 , 8.371 , 8.371 , 0.49 , 0.952 , 9.218 , -0.47626119194826655 , 18.812244897959182 , 0.031 , 63.37120277735444
5 , 4.097560975609756 , 0.5 , 41 , 43 , 127 , 3 , 5.463 , 8.0 , 8.0 , 0.567 , 0.964 , 9.443 , -0.4345811383184543 , 16.654320987654323 , 0.081 , 65.0
3 , 4.2 , 0.5 , 30 , 33 , 96 , 3 , 8.319 , 8.319 , 8.319 , 0.503 , 0.954 , 9.679 , -0.47328557948949235 , 19.242544731610337 , 0.038 , 63.31930551283397
5 , 4.304347826086956 , 0.5 , 46 , 53 , 152 , 3 , 4.696 , 8.0 , 8.0 , 0.636 , 0.969 , 9.92 , -0.39568832624867767 , 15.59748427672956 , 0.103 , 66.0
2 , 4.4 , 0.5 , 30 , 36 , 102 , 3 , 8.274 , 8.274 , 8.274 , 0.5 , 0.956 , 10.14 , -0.4753129192651824 , 20.28 , 0.038 , 63.274277421728875
1 , 4.5 , 0.5 , 28 , 35 , 98 , 3 , 9.096 , 9.096 , 9.096 , 0.506 , 0.954 , 10.371 , -0.4721231475472666 , 20.49604743083004 , 0.038 , 64.09629756080207
3 , 4.6 , 0.5 , 30 , 39 , 108 , 3 , 8.235 , 8.235 , 8.235 , 0.497 , 0.957 , 10.601 , -0.47719121010583343 , 21.329979879275655 , 0.038 , 63.234816902444116
4 , 4.702702702702703 , 0.5 , 37 , 50 , 137 , 3 , 6.17 , 8.0 , 8.0 , 0.578 , 0.965 , 10.838 , -0.42861297890247174 , 18.750865051903116 , 0.081 , 65.0
1 , 4.8 , 0.5 , 25 , 35 , 95 , 3 , 10.614 , 10.614 , 10.614 , 0.499 , 0.951 , 11.062 , -0.4727606634733872 , 22.16833667334669 , 0.031 , 65.61439124542619
3 , 4.894736842105263 , 0.5 , 38 , 55 , 148 , 3 , 5.936 , 8.0 , 8.0 , 0.633 , 0.966 , 11.28 , -0.38619247162472164 , 17.81990521327014 , 0.103 , 66.0
3 , 5.0 , 0.5 , 30 , 45 , 120 , 3 , 8.169 , 8.169 , 8.169 , 0.513 , 0.959 , 11.523 , -0.4734149406106338 , 22.461988304093566 , 0.05 , 63.168870121377594
4 , 5.1 , 0.7 , 20 , 31 , 82 , 3 , 7.416 , 8.0 , 8.0 , 0.515 , 0.943 , 11.753 , -0.4619739688992208 , 22.82135922330097 , 0.05 , 63.0
2 , 5.2 , 0.5 , 30 , 48 , 126 , 3 , 8.141 , 8.141 , 8.141 , 0.514 , 0.96 , 11.984 , -0.4739867384742096 , 23.315175097276263 , 0.05 , 63.141018027517006
2 , 5.3076923076923075 , 0.5 , 26 , 43 , 112 , 3 , 9.939 , 9.939 , 9.939 , 0.505 , 0.956 , 12.232 , -0.39689921989363963 , 24.221782178217822 , 0.038 , 64.9386563701529
4 , 5.4 , 0.7 , 20 , 34 , 88 , 3 , 7.371 , 8.0 , 8.0 , 0.511 , 0.945 , 12.445 , -0.4645173258142267 , 24.354207436399218 , 0.05 , 63.0
3 , 5.5 , 0.6 , 24 , 42 , 108 , 3 , 7.71 , 8.0 , 8.0 , 0.517 , 0.953 , 12.675 , -0.4682160245235427 , 24.516441005802708 , 0.05 , 63.0
4 , 5.6 , 0.5 , 30 , 54 , 138 , 3 , 8.093 , 8.093 , 8.093 , 0.581 , 0.962 , 12.906 , -0.45277616455712455 , 22.21342512908778 , 0.081 , 65.0931271461211
2 , 5.7 , 0.7 , 20 , 37 , 94 , 3 , 7.332 , 8.0 , 8.0 , 0.519 , 0.947 , 13.136 , -0.4628309288626917 , 25.310211946050092 , 0.05 , 63.0
6 , 5.8 , 0.5 , 30 , 57 , 144 , 3 , 8.072 , 8.072 , 8.072 , 0.588 , 0.962 , 13.366 , -0.45089109745135436 , 22.731292517006803 , 0.081 , 65.07238313533583
1 , 6.0 , 0.5 , 25 , 50 , 125 , 3 , 10.401 , 10.401 , 10.401 , 0.525 , 0.957 , 13.827 , -0.4678212827335499 , 26.337142857142855 , 0.05 , 65.40095493849083
6 , 6.2 , 0.5 , 30 , 63 , 156 , 3 , 8.036 , 8.036 , 8.036 , 0.644 , 0.964 , 14.288 , -0.43305600609658235 , 22.18633540372671 , 0.103 , 66.03597633108248
2 , 6.3 , 0.7 , 20 , 43 , 106 , 3 , 7.267 , 8.0 , 8.0 , 0.593 , 0.949 , 14.519 , -0.44004391886603555 , 24.483979763912313 , 0.081 , 65.0
3 , 6.413793103448276 , 0.5 , 29 , 64 , 157 , 3 , 8.404 , 8.404 , 8.404 , 0.648 , 0.963 , 14.781 , -0.2933582830247681 , 22.810185185185187 , 0.103 , 66.40436171763336
2 , 6.5 , 0.6 , 24 , 54 , 132 , 3 , 7.608 , 8.0 , 8.0 , 0.647 , 0.957 , 14.98 , -0.4274738559011283 , 23.153013910355487 , 0.103 , 66.0
