iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
2 , 10.5 , 0.5 , 0.5 , 64 , 48 , 28 , 160 , 140 , 4 , 2.416 , 8.741 , 12.704 , 8.741 , 12.704 , 0.809 , 0.905 , 24.198 , -0.3391738311793973 , 29.911 , 0.128 , 89.94459435806735
2 , 10.5 , 0.5 , 0.5 , 64 , 48 , 28 , 160 , 140 , 4 , 2.416 , 8.741 , 12.704 , 8.741 , 12.704 , 0.809 , 0.905 , 24.198 , -0.3391738311793973 , 29.911 , 0.128 , 89.94459435806735
2 , 10.5 , 0.5 , 0.5 , 64 , 48 , 28 , 160 , 140 , 4 , 2.416 , 8.741 , 12.704 , 8.741 , 12.704 , 0.809 , 0.905 , 24.198 , -0.3391738311793973 , 29.911 , 0.128 , 89.94459435806735
2 , 10.5 , 0.5 , 0.5 , 64 , 48 , 28 , 160 , 140 , 4 , 2.416 , 8.741 , 12.704 , 8.741 , 12.704 , 0.809 , 0.905 , 24.198 , -0.3391738311793973 , 29.911 , 0.128 , 89.94459435806735
2 , 10.5 , 0.5 , 0.5 , 64 , 48 , 28 , 160 , 140 , 4 , 2.416 , 8.741 , 12.704 , 8.741 , 12.704 , 0.809 , 0.905 , 24.198 , -0.3391738311793973 , 29.911 , 0.128 , 89.94459435806735
2 , 10.523809523809524 , 0.5 , 0.5 , 56 , 52 , 28 , 160 , 136 , 4 , 2.802 , 8.646 , 13.093 , 8.646 , 13.093 , 0.773 , 0.915 , 24.253 , -0.35819252846579913 , 31.375 , 0.103 , 90.23865269489849
2 , 10.523809523809524 , 0.5 , 0.5 , 56 , 52 , 28 , 160 , 136 , 4 , 2.802 , 8.646 , 13.093 , 8.646 , 13.093 , 0.773 , 0.915 , 24.253 , -0.35819252846579913 , 31.375 , 0.103 , 90.23865269489849
2 , 10.88 , 0.5 , 0.5 , 60 , 48 , 28 , 156 , 136 , 4 , 2.6 , 9.316 , 13.536 , 9.316 , 13.536 , 0.776 , 0.904 , 25.074 , -0.3495305856267178 , 32.312 , 0.103 , 91.35181598909767
2 , 10.88 , 0.5 , 0.5 , 60 , 48 , 28 , 156 , 136 , 4 , 2.6 , 9.316 , 13.536 , 9.316 , 13.536 , 0.776 , 0.904 , 25.074 , -0.3495305856267178 , 32.312 , 0.103 , 91.35181598909767
1 , 11.0 , 0.5 , 0.5 , 48 , 56 , 28 , 160 , 132 , 4 , 3.34 , 8.98 , 14.083 , 8.98 , 14.083 , 0.773 , 0.922 , 25.35 , -0.36257492360882204 , 32.794 , 0.103 , 91.5629350956466
2 , 11.0 , 0.5 , 0.5 , 48 , 56 , 28 , 160 , 132 , 4 , 3.34 , 8.98 , 14.083 , 8.98 , 14.083 , 0.773 , 0.922 , 25.35 , -0.36257492360882204 , 32.794 , 0.103 , 91.5629350956466
4 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 2.813 , 9.973 , 14.485 , 9.973 , 14.485 , 0.773 , 0.903 , 26.074 , -0.34977158055094565 , 33.731 , 0.103 , 92.9585110299432
3 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 2.813 , 9.973 , 14.485 , 9.973 , 14.485 , 0.773 , 0.903 , 26.074 , -0.34977158055094565 , 33.731 , 0.103 , 92.9585110299432
3 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 2.813 , 9.973 , 14.485 , 9.973 , 14.485 , 0.773 , 0.903 , 26.074 , -0.34977158055094565 , 33.731 , 0.103 , 92.9585110299432
2 , 11.555555555555555 , 0.5 , 0.5 , 48 , 52 , 28 , 152 , 128 , 4 , 3.351 , 10.071 , 15.237 , 10.071 , 15.237 , 0.739 , 0.913 , 26.631 , -0.36775012271724816 , 36.037 , 0.081 , 92.80786144415018
