iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
3 , 4.0 , 0.5 , 39 , 39 , 117 , 3 , 12.6 , 12.6 , 12.6 , 0.739 , 0.962 , 19.863 , -0.4006232460682331 , 26.878213802435724 , 0.05 , 72.10043432926071
6 , 4.1 , 0.6 , 40 , 42 , 124 , 4 , 6.331 , 8.0 , 8.0 , 0.794 , 0.964 , 20.359 , -0.3834824025998126 , 25.64105793450882 , 0.103 , 70.5
4 , 4.2 , 0.6 , 30 , 33 , 96 , 3 , 12.448 , 12.448 , 12.448 , 0.739 , 0.954 , 20.856 , -0.39541725239354863 , 28.221921515561572 , 0.05 , 71.94831625999562
5 , 4.304347826086956 , 0.5 , 46 , 53 , 152 , 3 , 10.12 , 10.12 , 10.12 , 0.798 , 0.969 , 21.374 , -0.3424325446278197 , 26.7844611528822 , 0.103 , 72.61950765668927
3 , 4.4 , 0.6 , 30 , 36 , 102 , 3 , 12.381 , 12.381 , 12.381 , 0.735 , 0.956 , 21.849 , -0.39782535932341523 , 29.7265306122449 , 0.05 , 71.8809399726606
4 , 4.5 , 0.6 , 28 , 35 , 98 , 3 , 13.611 , 13.611 , 13.611 , 0.746 , 0.954 , 22.345 , -0.39300121212506633 , 29.953083109919568 , 0.05 , 73.11094248278397
3 , 4.6 , 0.5 , 30 , 39 , 108 , 3 , 17.744 , 17.744 , 17.744 , 0.756 , 0.957 , 22.842 , -0.39195695053908836 , 30.21428571428571 , 0.038 , 77.24352813233816
4 , 4.702702702702703 , 0.5 , 37 , 50 , 137 , 3 , 13.294 , 13.294 , 13.294 , 0.787 , 0.965 , 23.352 , -0.35954802742605574 , 29.672172808132146 , 0.081 , 74.7937423996142
3 , 4.8 , 0.7999999999999999 , 20 , 28 , 76 , 3 , 12.322 , 12.322 , 12.322 , 0.736 , 0.941 , 23.835 , -0.3877385361083623 , 32.38451086956522 , 0.05 , 71.82152598542291
3 , 4.894736842105263 , 0.5 , 38 , 55 , 148 , 3 , 12.79 , 12.79 , 12.79 , 0.82 , 0.966 , 24.305 , -0.32446100772777836 , 29.640243902439025 , 0.103 , 75.28998884713315
3 , 5.0 , 0.5 , 30 , 45 , 120 , 3 , 17.601 , 17.601 , 17.601 , 0.772 , 0.959 , 24.828 , -0.38804726107098586 , 32.16062176165803 , 0.05 , 77.10143285821692
4 , 5.1 , 0.7 , 20 , 31 , 82 , 3 , 15.98 , 15.98 , 15.98 , 0.764 , 0.943 , 25.325 , -0.3799341462421978 , 33.1479057591623 , 0.05 , 75.48024922189711
2 , 5.2 , 0.5 , 30 , 48 , 126 , 3 , 17.541 , 17.541 , 17.541 , 0.769 , 0.96 , 25.821 , -0.3895803457755871 , 33.57737321196359 , 0.05 , 77.04142005929077
3 , 5.294117647058823 , 0.5 , 34 , 56 , 146 , 3 , 14.75 , 14.75 , 14.75 , 0.794 , 0.965 , 26.289 , -0.3256977544120439 , 33.1095717884131 , 0.081 , 76.2495281160381
4 , 5.4 , 0.7 , 20 , 34 , 88 , 3 , 15.883 , 15.883 , 15.883 , 0.76 , 0.945 , 26.814 , -0.3824623594802069 , 35.28157894736842 , 0.05 , 75.38283722417027
