iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
1 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 6.06 , 21.489 , 31.212 , 21.489 , 31.212 , 1.081 , 0.903 , 56.183 , -0.24808586368479635 , 51.973 , 0.103 , 125.70065912529196
1 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 6.06 , 21.489 , 31.212 , 21.489 , 31.212 , 1.081 , 0.903 , 56.183 , -0.24808586368479635 , 51.973 , 0.103 , 125.70065912529196
2 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 6.06 , 21.489 , 31.212 , 21.489 , 31.212 , 1.081 , 0.903 , 56.183 , -0.24808586368479635 , 51.973 , 0.103 , 125.70065912529196
2 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 6.06 , 21.489 , 31.212 , 21.489 , 31.212 , 1.081 , 0.903 , 56.183 , -0.24808586368479635 , 51.973 , 0.103 , 125.70065912529196
2 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 6.06 , 21.489 , 31.212 , 21.489 , 31.212 , 1.081 , 0.903 , 56.183 , -0.24808586368479635 , 51.973 , 0.103 , 125.70065912529196
2 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 6.06 , 21.489 , 31.212 , 21.489 , 31.212 , 1.081 , 0.903 , 56.183 , -0.24808586368479635 , 51.973 , 0.103 , 125.70065912529196
1 , 11.555555555555555 , 0.5 , 0.5 , 48 , 52 , 28 , 152 , 128 , 4 , 7.221 , 21.699 , 32.832 , 21.699 , 32.832 , 1.049 , 0.913 , 57.381 , -0.2653074333102314 , 54.701 , 0.081 , 126.53075117800313
1 , 11.555555555555555 , 0.5 , 0.5 , 48 , 52 , 28 , 152 , 128 , 4 , 7.221 , 21.699 , 32.832 , 21.699 , 32.832 , 1.049 , 0.913 , 57.381 , -0.2653074333102314 , 54.701 , 0.081 , 126.53075117800313
3 , 11.6875 , 0.5 , 0.5 , 64 , 44 , 28 , 152 , 136 , 4 , 5.229 , 22.648 , 31.33 , 22.648 , 31.33 , 1.103 , 0.887 , 58.036 , -0.23036763828077567 , 52.617 , 0.103 , 126.97786793545568
3 , 11.815384615384616 , 0.5 , 0.5 , 52 , 48 , 28 , 148 , 128 , 4 , 6.6 , 23.121 , 33.57 , 23.121 , 33.57 , 1.06 , 0.902 , 58.671 , -0.2541848018471961 , 55.35 , 0.081 , 128.6912213644491
