iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
3 , 4.0 , 0.5 , 39 , 39 , 117 , 3 , 8.723 , 8.723 , 8.723 , 0.831 , 0.962 , 13.751 , -0.37036765257703663 , 16.547533092659446 , 0.05 , 79.7233776125651
6 , 4.1 , 0.6 , 40 , 42 , 124 , 4 , 4.383 , 8.0 , 8.0 , 0.911 , 0.964 , 14.095 , -0.3448466793395887 , 15.472008781558728 , 0.103 , 82.0
4 , 4.2 , 0.6 , 30 , 33 , 96 , 3 , 8.618 , 8.618 , 8.618 , 0.831 , 0.954 , 14.439 , -0.3650885778181578 , 17.375451263537908 , 0.05 , 79.61806510307389
5 , 4.304347826086956 , 0.5 , 46 , 53 , 152 , 3 , 7.006 , 8.0 , 8.0 , 0.901 , 0.969 , 14.797 , -0.3084517423210113 , 16.42286348501665 , 0.103 , 82.0
3 , 4.4 , 0.6 , 30 , 36 , 102 , 3 , 8.571 , 8.571 , 8.571 , 0.827 , 0.956 , 15.126 , -0.3675146342522011 , 18.29020556227328 , 0.05 , 79.57141998107272
3 , 4.5 , 0.6 , 28 , 35 , 98 , 3 , 9.423 , 9.423 , 9.423 , 0.835 , 0.954 , 15.47 , -0.36355010161138396 , 18.526946107784433 , 0.05 , 80.4229601803889
3 , 4.6 , 0.5 , 30 , 39 , 108 , 3 , 12.284 , 12.284 , 12.284 , 0.836 , 0.957 , 15.814 , -0.36535265535045924 , 18.916267942583733 , 0.038 , 83.28398101469564
4 , 4.702702702702703 , 0.5 , 37 , 50 , 137 , 3 , 9.203 , 9.203 , 9.203 , 0.877 , 0.965 , 16.167 , -0.330014677247664 , 18.434435575826683 , 0.081 , 82.20336012280984
2 , 4.8 , 0.5 , 30 , 42 , 114 , 3 , 12.232 , 12.232 , 12.232 , 0.855 , 0.958 , 16.501 , -0.35986998183538693 , 19.299415204678365 , 0.05 , 83.23194866289747
3 , 4.894736842105263 , 0.5 , 38 , 55 , 148 , 3 , 8.855 , 8.855 , 8.855 , 0.91 , 0.966 , 16.827 , -0.2946815419607569 , 18.49120879120879 , 0.103 , 82.85460766339986
3 , 5.0 , 0.5 , 30 , 45 , 120 , 3 , 12.186 , 12.186 , 12.186 , 0.852 , 0.959 , 17.189 , -0.3615368830043379 , 20.17488262910798 , 0.05 , 83.18560736338094
4 , 5.1 , 0.7 , 20 , 31 , 82 , 3 , 11.063 , 11.063 , 11.063 , 0.848 , 0.943 , 17.533 , -0.3522636057223021 , 20.675707547169814 , 0.05 , 82.06324946131338
2 , 5.2 , 0.5 , 30 , 48 , 126 , 3 , 12.144 , 12.144 , 12.144 , 0.849 , 0.96 , 17.876 , -0.3631371146702543 , 21.055359246171967 , 0.05 , 83.14406004104747
3 , 5.294117647058823 , 0.5 , 34 , 56 , 146 , 3 , 10.211 , 10.211 , 10.211 , 0.879 , 0.965 , 18.2 , -0.29744734929944455 , 20.705346985210465 , 0.081 , 83.21121177264178
4 , 5.4 , 0.7 , 20 , 34 , 88 , 3 , 10.996 , 10.996 , 10.996 , 0.844 , 0.945 , 18.564 , -0.3548657666569918 , 21.99526066350711 , 0.05 , 81.99581038596403
2 , 5.5 , 0.6 , 24 , 42 , 108 , 3 , 11.502 , 11.502 , 11.502 , 0.844 , 0.953 , 18.908 , -0.3603894847637776 , 22.402843601895736 , 0.05 , 82.50168631126604
4 , 5.6 , 0.5 , 30 , 54 , 138 , 3 , 12.073 , 12.073 , 12.073 , 0.897 , 0.962 , 19.251 , -0.34843010724059814 , 21.461538461538463 , 0.081 , 85.07262060471103
2 , 5.7 , 0.7 , 20 , 37 , 94 , 3 , 10.937 , 10.937 , 10.937 , 0.839 , 0.947 , 19.595 , -0.3573017468739512 , 23.35518474374255 , 0.05 , 81.93711182869797
6 , 5.8 , 0.5 , 30 , 57 , 144 , 3 , 12.042 , 12.042 , 12.042 , 0.894 , 0.962 , 19.939 , -0.3499217530760418 , 22.303131991051455 , 0.081 , 85.04167650022471
3 , 6.0 , 0.6 , 22 , 44 , 110 , 3 , 12.927 , 12.927 , 12.927 , 0.853 , 0.952 , 20.626 , -0.3562969814254954 , 24.180539273153578 , 0.05 , 83.92674430140485
5 , 6.206896551724138 , 0.5 , 29 , 61 , 151 , 3 , 12.563 , 12.563 , 12.563 , 0.894 , 0.963 , 21.338 , -0.2808483884452149 , 23.86800894854586 , 0.081 , 85.56342211110707
2 , 6.3 , 0.7 , 20 , 43 , 106 , 3 , 10.84 , 10.84 , 10.84 , 0.884 , 0.949 , 21.658 , -0.3441084293483868 , 24.5 , 0.081 , 83.83982849304904
2 , 6.428571428571429 , 0.5 , 28 , 62 , 152 , 3 , 13.163 , 13.163 , 13.163 , 0.898 , 0.962 , 22.1 , -0.0623362355175231 , 24.610244988864142 , 0.081 , 86.16289571459737
1 , 6.48 , 0.5 , 25 , 56 , 137 , 3 , 15.428 , 15.428 , 15.428 , 0.922 , 0.958 , 22.277 , -0.13758402019382027 , 24.16160520607375 , 0.081 , 88.42841441585423
1 , 6.571428571428571 , 0.6 , 21 , 48 , 117 , 3 , 13.715 , 13.715 , 13.715 , 0.909 , 0.952 , 22.591 , -0.05202834323179878 , 24.852585258525853 , 0.081 , 86.7145801290805
2 , 6.6923076923076925 , 0.5 , 26 , 61 , 148 , 3 , 14.567 , 14.567 , 14.567 , 0.911 , 0.96 , 23.006 , -0.26565099043449686 , 25.25356750823271 , 0.081 , 87.56652451163873
1 , 6.818181818181818 , 0.6 , 22 , 53 , 128 , 3 , 12.8 , 12.8 , 12.8 , 0.896 , 0.954 , 23.439 , -0.1619757451826384 , 26.159598214285715 , 0.081 , 85.80018799513553
1 , 6.857142857142857 , 0.6 , 21 , 51 , 123 , 3 , 13.671 , 13.671 , 13.671 , 0.905 , 0.953 , 23.573 , 0.08914112887782555 , 26.047513812154694 , 0.081 , 86.67118937761919
2 , 7.0 , 0.7 , 18 , 45 , 108 , 3 , 12.492 , 12.492 , 12.492 , 0.895 , 0.946 , 24.064 , -0.33860649266704146 , 26.887150837988827 , 0.081 , 85.49175315445098
