iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
1 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 4.196 , 14.877 , 21.608 , 14.877 , 21.608 , 1.106 , 0.903 , 38.896 , -0.2400387185870898 , 35.168 , 0.103 , 120.98507170212521
1 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 4.196 , 14.877 , 21.608 , 14.877 , 21.608 , 1.106 , 0.903 , 38.896 , -0.2400387185870898 , 35.168 , 0.103 , 120.98507170212521
2 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 4.196 , 14.877 , 21.608 , 14.877 , 21.608 , 1.106 , 0.903 , 38.896 , -0.2400387185870898 , 35.168 , 0.103 , 120.98507170212521
2 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 4.196 , 14.877 , 21.608 , 14.877 , 21.608 , 1.106 , 0.903 , 38.896 , -0.2400387185870898 , 35.168 , 0.103 , 120.98507170212521
2 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 4.196 , 14.877 , 21.608 , 14.877 , 21.608 , 1.106 , 0.903 , 38.896 , -0.2400387185870898 , 35.168 , 0.103 , 120.98507170212521
2 , 11.314285714285715 , 0.5 , 0.5 , 56 , 48 , 28 , 152 , 132 , 4 , 4.196 , 14.877 , 21.608 , 14.877 , 21.608 , 1.106 , 0.903 , 38.896 , -0.2400387185870898 , 35.168 , 0.103 , 120.98507170212521
1 , 11.555555555555555 , 0.5 , 0.5 , 48 , 52 , 28 , 152 , 128 , 4 , 4.999 , 15.022 , 22.73 , 15.022 , 22.73 , 1.072 , 0.913 , 39.725 , -0.25769576807332256 , 37.057 , 0.081 , 121.25205850784832
1 , 11.555555555555555 , 0.5 , 0.5 , 48 , 52 , 28 , 152 , 128 , 4 , 4.999 , 15.022 , 22.73 , 15.022 , 22.73 , 1.072 , 0.913 , 39.725 , -0.25769576807332256 , 37.057 , 0.081 , 121.25205850784832
3 , 11.6875 , 0.5 , 0.5 , 64 , 44 , 28 , 152 , 136 , 4 , 3.62 , 15.679 , 21.69 , 15.679 , 21.69 , 1.122 , 0.887 , 40.179 , -0.22395867580350315 , 35.81 , 0.103 , 121.86929318608469
3 , 11.815384615384616 , 0.5 , 0.5 , 52 , 48 , 28 , 148 , 128 , 4 , 4.569 , 16.007 , 23.241 , 16.007 , 23.241 , 1.08 , 0.902 , 40.618 , -0.24765606187165817 , 37.609 , 0.081 , 122.7477686369263
2 , 11.815384615384616 , 0.5 , 0.5 , 52 , 48 , 28 , 148 , 128 , 4 , 4.569 , 16.007 , 23.241 , 16.007 , 23.241 , 1.08 , 0.902 , 40.618 , -0.24765606187165817 , 37.609 , 0.081 , 122.7477686369263
4 , 12.1 , 0.5 , 0.5 , 60 , 44 , 28 , 148 , 132 , 4 , 3.896 , 16.71 , 23.109 , 16.71 , 23.109 , 1.126 , 0.886 , 41.597 , -0.22221891706403873 , 36.942 , 0.103 , 124.31818334260618
3 , 12.1 , 0.5 , 0.5 , 60 , 44 , 28 , 148 , 132 , 4 , 3.896 , 16.71 , 23.109 , 16.71 , 23.109 , 1.126 , 0.886 , 41.597 , -0.22221891706403873 , 36.942 , 0.103 , 124.31818334260618
2 , 12.212121212121213 , 0.5 , 0.5 , 44 , 52 , 28 , 148 , 124 , 4 , 5.549 , 16.374 , 24.762 , 16.374 , 24.762 , 1.082 , 0.911 , 41.982 , -0.2535675314800928 , 38.8 , 0.081 , 124.63565618867861
2 , 12.212121212121213 , 0.5 , 0.5 , 44 , 52 , 28 , 148 , 124 , 4 , 5.549 , 16.374 , 24.762 , 16.374 , 24.762 , 1.082 , 0.911 , 41.982 , -0.2535675314800928 , 38.8 , 0.081 , 124.63565618867861
1 , 12.4 , 0.5 , 0.5 , 40 , 56 , 28 , 152 , 124 , 4 , 6.22 , 16.048 , 25.143 , 16.048 , 25.143 , 1.084 , 0.919 , 42.628 , -0.2578200614335002 , 39.325 , 0.081 , 124.69146005335126
2 , 12.571428571428571 , 0.5 , 0.5 , 56 , 44 , 28 , 144 , 128 , 4 , 4.214 , 17.886 , 24.728 , 17.886 , 24.728 , 1.099 , 0.885 , 43.217 , -0.23014666472706719 , 39.324 , 0.081 , 126.11384845095704
4 , 12.571428571428571 , 0.5 , 0.5 , 56 , 44 , 28 , 144 , 128 , 4 , 4.214 , 17.886 , 24.728 , 17.886 , 24.728 , 1.099 , 0.885 , 43.217 , -0.23014666472706719 , 39.324 , 0.081 , 126.11384845095704
5 , 12.692307692307692 , 0.5 , 0.5 , 52 , 50 , 30 , 152 , 132 , 4 , 4.56 , 16.746 , 23.678 , 16.746 , 23.678 , 1.128 , 0.902 , 43.633 , -0.2317841349826854 , 38.682 , 0.103 , 124.92364351194203
2 , 12.9 , 0.5 , 0.5 , 45 , 54 , 30 , 153 , 129 , 3 , 7.187 , 22.311 , 32.802 , 22.311 , 32.802 , 1.141 , 0.912 , 44.347 , -0.23433078315945377 , 38.867 , 0.081 , 138.61328215612912
3 , 12.9 , 0.5 , 0.5 , 45 , 54 , 30 , 153 , 129 , 3 , 7.187 , 22.311 , 32.802 , 22.311 , 32.802 , 1.141 , 0.912 , 44.347 , -0.23433078315945377 , 38.867 , 0.081 , 138.61328215612912
2 , 13.0 , 0.5 , 0.5 , 40 , 52 , 28 , 144 , 120 , 4 , 6.242 , 17.994 , 27.198 , 17.994 , 27.198 , 1.094 , 0.91 , 44.691 , -0.24820529045432976 , 40.851 , 0.081 , 128.69215051360734
