iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
9 , 4.0 , 0.5 , 0.5 , 30 , 40 , 56 , 126 , 3 , 8.177 , 8.177 , 4.497 , 4.497 , 0.523 , 0.963 , 9.167 , -0.47284957103661107 , 17.528 , 0.038 , 68.6746804325521
7 , 4.099099099099099 , 0.5 , 0.5 , 27 , 43 , 74 , 144 , 3 , 9.389 , 9.389 , 3.933 , 3.933 , 0.533 , 0.964 , 9.394 , -0.461106225775864 , 17.625 , 0.038 , 69.32169445355714
6 , 4.2 , 0.5 , 0.5 , 30 , 40 , 50 , 120 , 3 , 8.177 , 8.177 , 5.114 , 5.114 , 0.525 , 0.962 , 9.626 , -0.47107309021030097 , 18.335 , 0.038 , 69.29089638589355
6 , 4.3 , 0.5 , 0.5 , 24 , 44 , 85 , 153 , 3 , 11.013 , 11.013 , 3.862 , 3.862 , 0.559 , 0.963 , 9.855 , -0.4607418781863992 , 17.63 , 0.038 , 70.87473941335338
6 , 4.4 , 0.5 , 0.5 , 30 , 36 , 36 , 102 , 3 , 8.229 , 8.229 , 6.824 , 6.824 , 0.53 , 0.956 , 10.084 , -0.4653980111549817 , 19.026 , 0.038 , 71.05275258231362
6 , 4.5 , 0.5 , 0.5 , 24 , 36 , 45 , 105 , 3 , 11.143 , 11.143 , 6.474 , 6.474 , 0.526 , 0.955 , 10.313 , -0.46651575313986443 , 19.606 , 0.031 , 73.61769246323485
5 , 4.6 , 0.5 , 0.5 , 30 , 39 , 39 , 108 , 3 , 8.189 , 8.189 , 6.7 , 6.7 , 0.531 , 0.957 , 10.542 , -0.46604989807571273 , 19.853 , 0.038 , 70.88886675282906
8 , 4.699604743083004 , 0.5 , 0.5 , 33 , 54 , 69 , 156 , 3 , 7.091 , 7.091 , 4.39 , 4.39 , 0.604 , 0.967 , 10.771 , -0.4446249606062973 , 17.833 , 0.081 , 69.48149338216817
6 , 4.8 , 0.5 , 0.5 , 30 , 38 , 34 , 102 , 3 , 8.202 , 8.202 , 7.755 , 7.755 , 0.536 , 0.954 , 11.001 , -0.46247325089640434 , 20.524 , 0.038 , 71.9571196408693
7 , 4.9 , 0.5 , 0.5 , 33 , 44 , 40 , 117 , 3 , 7.166 , 7.166 , 6.683 , 6.683 , 0.551 , 0.959 , 11.23 , -0.4609177649790954 , 20.381 , 0.05 , 69.8496159171086
10 , 5.0 , 0.5 , 0.5 , 30 , 40 , 35 , 105 , 3 , 8.177 , 8.177 , 7.875 , 7.875 , 0.538 , 0.955 , 11.459 , -0.46228887168864075 , 21.299 , 0.038 , 72.05237843475226
