iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
3 , 4.0 , 0.5 , 39 , 39 , 117 , 3 , 9.693 , 9.693 , 9.693 , 1.088 , 0.962 , 15.279 , -0.28557271998462164 , 14.043198529411764 , 0.05 , 83.192641791739
6 , 4.1 , 0.6 , 40 , 42 , 124 , 4 , 4.87 , 8.0 , 8.0 , 1.161 , 0.964 , 15.661 , -0.2622713378885787 , 13.489233419465977 , 0.103 , 84.5
4 , 4.2 , 0.6 , 30 , 33 , 96 , 3 , 9.576 , 9.576 , 9.576 , 1.088 , 0.954 , 16.043 , -0.2803220990309238 , 14.745404411764705 , 0.05 , 83.07562789230433
5 , 4.304347826086956 , 0.5 , 46 , 53 , 152 , 3 , 7.784 , 8.0 , 8.0 , 1.151 , 0.969 , 16.441 , -0.22587640087000127 , 14.284100781928757 , 0.103 , 84.5
3 , 4.4 , 0.6 , 30 , 36 , 102 , 3 , 9.524 , 9.524 , 9.524 , 1.084 , 0.956 , 16.807 , -0.2827481785900431 , 15.50461254612546 , 0.05 , 83.02379997896969
3 , 4.5 , 0.6 , 28 , 35 , 98 , 3 , 10.47 , 10.47 , 10.47 , 1.093 , 0.954 , 17.189 , -0.2784863998727785 , 15.72644098810613 , 0.05 , 83.96995575598767
3 , 4.6 , 0.5 , 30 , 39 , 108 , 3 , 13.649 , 13.649 , 13.649 , 1.097 , 0.957 , 17.571 , -0.27930059410634533 , 16.01731996353692 , 0.038 , 87.14886779410627
4 , 4.702702702702703 , 0.5 , 37 , 50 , 137 , 3 , 10.226 , 10.226 , 10.226 , 1.135 , 0.965 , 17.963 , -0.24499277036392125 , 15.826431718061675 , 0.081 , 85.72595569201093
2 , 4.8 , 0.5 , 30 , 42 , 114 , 3 , 13.591 , 13.591 , 13.591 , 1.116 , 0.958 , 18.335 , -0.27381296848701736 , 16.42921146953405 , 0.05 , 87.09105406988607
3 , 4.894736842105263 , 0.5 , 38 , 55 , 148 , 3 , 9.838 , 9.838 , 9.838 , 1.167 , 0.966 , 18.697 , -0.20975488772257844 , 16.021422450728362 , 0.103 , 86.33845295933318
3 , 5.0 , 0.5 , 30 , 45 , 120 , 3 , 13.54 , 13.54 , 13.54 , 1.113 , 0.959 , 19.099 , -0.2754708550385 , 17.159928122192273 , 0.05 , 87.03956373708994
4 , 5.1 , 0.7 , 20 , 31 , 82 , 3 , 12.292 , 12.292 , 12.292 , 1.107 , 0.943 , 19.481 , -0.26659614840158086 , 17.598012646793137 , 0.05 , 85.79249940145931
2 , 5.2 , 0.5 , 30 , 48 , 126 , 3 , 13.493 , 13.493 , 13.493 , 1.11 , 0.96 , 19.863 , -0.2770583175169608 , 17.894594594594594 , 0.05 , 86.99340004560828
3 , 5.294117647058823 , 0.5 , 34 , 56 , 146 , 3 , 11.346 , 11.346 , 11.346 , 1.138 , 0.965 , 20.222 , -0.21200724867030774 , 17.769771528998245 , 0.081 , 86.84579085849086
5 , 5.4 , 0.7 , 20 , 34 , 88 , 3 , 12.218 , 12.218 , 12.218 , 1.103 , 0.945 , 20.626 , -0.2691863436518751 , 18.69990933816863 , 0.05 , 85.71756709551559
3 , 5.5 , 0.6 , 24 , 42 , 108 , 3 , 12.78 , 12.78 , 12.78 , 1.104 , 0.953 , 21.008 , -0.27450846480350155 , 19.028985507246375 , 0.05 , 86.27965145696227
4 , 5.6 , 0.5 , 30 , 54 , 138 , 3 , 13.414 , 13.414 , 13.414 , 1.158 , 0.962 , 21.39 , -0.2623154442651788 , 18.471502590673577 , 0.081 , 88.91402289412338
2 , 5.7 , 0.7 , 20 , 37 , 94 , 3 , 12.152 , 12.152 , 12.152 , 1.099 , 0.947 , 21.772 , -0.27160369549839625 , 19.810737033666967 , 0.05 , 85.65234647633108
6 , 5.8 , 0.5 , 30 , 57 , 144 , 3 , 13.38 , 13.38 , 13.38 , 1.155 , 0.962 , 22.154 , -0.263784354771899 , 19.18095238095238 , 0.081 , 88.87964055580524
3 , 6.0 , 0.6 , 22 , 44 , 110 , 3 , 14.363 , 14.363 , 14.363 , 1.115 , 0.952 , 22.918 , -0.269862045466708 , 20.5542600896861 , 0.05 , 87.86304922378318
6 , 6.2 , 0.5 , 30 , 63 , 156 , 3 , 13.319 , 13.319 , 13.319 , 1.19 , 0.964 , 23.682 , -0.2529018154808973 , 19.900840336134454 , 0.103 , 89.81929778632457
2 , 6.3 , 0.7 , 20 , 43 , 106 , 3 , 12.044 , 12.044 , 12.044 , 1.144 , 0.949 , 24.064 , -0.2583552301512981 , 21.034965034965037 , 0.081 , 87.54425388116559
3 , 6.413793103448276 , 0.5 , 29 , 64 , 157 , 3 , 13.93 , 13.93 , 13.93 , 1.194 , 0.963 , 24.499 , -0.11312656025525814 , 20.518425460636514 , 0.103 , 90.42988129994481
2 , 6.5 , 0.6 , 24 , 54 , 132 , 3 , 12.611 , 12.611 , 12.611 , 1.184 , 0.957 , 24.828 , -0.2503047669199199 , 20.969594594594597 , 0.103 , 89.11063357663386
3 , 6.6 , 0.7 , 20 , 46 , 112 , 3 , 11.999 , 11.999 , 11.999 , 1.181 , 0.95 , 25.21 , -0.2467615899039019 , 21.346316680779 , 0.103 , 88.4989336052452
2 , 6.6923076923076925 , 0.5 , 26 , 61 , 148 , 3 , 16.185 , 16.185 , 16.185 , 1.175 , 0.96 , 25.563 , -0.17849688647510725 , 21.755744680851063 , 0.081 , 91.68502723515415
1 , 6.818181818181818 , 0.6 , 22 , 53 , 128 , 3 , 14.222 , 14.222 , 14.222 , 1.158 , 0.954 , 26.044 , -0.07543892963729826 , 22.49050086355786 , 0.081 , 89.72243110570615
