thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,ori_l,ori_theta,best_index,best_cost,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.37989319480740086,5.712427207745229,0.01858102168102027,4,4.162191721515848,515.5,5.0,29.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.39857572769163097,4.430756218391956,0.14147621432193458,2,4.015714656784307,530.0,5.0,28.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.44952807741238343,5.130991468615252,0.5344909829770739,1,3.577813019635556,438.1,4.5,31.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4555834340207445,4.492182755202898,0.055031731935403005,2,3.55469839274796,581.0,6.1,34.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5069589434617098,3.425293230393117,0.44501634626528475,1,3.4671200704659855,482.4,6.7,37.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5455000518380331,2.260806748616733,-0.16791042910508702,6,0.549764522898293,242.4,6.7,36.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.47043503645036333,3.8055136618004797,0.26731833108050007,7,-1.2714910173083473,161.2,6.9,42.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.504191214877691,6.345348812137987,1.0370143846605777,1,-0.5836266855179031,185.3,6.2,44.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4828434935498548,3.7620343937277068,0.33220778775036464,6,-1.8204624154571643,104.4,10.0,38.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3818401982818485,4.02956823523663,-0.5867281022051026,0,-1.1773875891022243,221.6,7.1,36.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.47670628471822085,2.497999758651155,0.32453216231300575,4,-2.1386998274058726,230.3,9.1,48.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.44459949778644037,4.19729178189944,0.3059811380433526,2,-2.106308962873685,127.7,7.0,49.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4344288313916453,2.7090300333696837,-0.2923227067370946,0,-1.8450229258941966,239.4,9.1,36.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.48755129297279437,4.328491111562606,0.46521588813795756,1,-1.802388691208047,162.0,8.8,48.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.46682143501997075,2.4583551761601314,-0.4083545597986422,3,-2.1584191466075757,253.8,8.4,41.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4696825281175715,2.8968291915517472,-0.07472192638772701,4,-2.0740188553175645,83.2,9.9,37.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5011776344211618,1.3813776090692058,-0.307614438499469,7,-1.7318888628463607,387.0,8.8,40.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4552110388000535,4.532582934776289,-0.37626654706429385,7,-1.6452626361907474,152.4,9.7,44.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.49833233338412786,4.146927061625031,-0.5115510992540742,5,-1.4572254802822941,171.1,9.2,43.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5058320184062122,4.092930563619499,-0.3906916407682419,3,-1.5310413825321847,138.8,10.0,41.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5012845246653466,3.5551302383256482,-0.5846319698840449,0,-2.0042037837680517,167.3,9.6,39.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4668290404703944,3.62628356267886,-0.8172460098102063,2,-1.8817799803423454,250.0,8.7,37.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4730854498964731,3.9016082130809746,-0.7978101738907972,4,-2.1647599031310474,187.2,9.8,35.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4594894146041566,5.082643687186438,-0.46867994332603025,6,-2.14856247630787,93.9,9.0,31.6
