thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,ori_l,ori_theta,best_index,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3798931948074008,5.712427207745229,0.0185810216810202,4.0,515.5,5.0,29.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3985757276916309,4.430756218391956,0.1414762143219345,2.0,530.0,5.0,28.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4495280774123834,5.130991468615252,0.5344909829770739,1.0,438.1,4.5,31.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4555834340207445,4.492182755202898,0.055031731935403,2.0,581.0,6.1,34.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5069589434617098,3.425293230393117,0.4450163462652847,1.0,482.4,6.7,37.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5455000518380331,2.260806748616733,-0.167910429105087,6.0,242.4,6.7,36.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4704350364503633,3.80551366180048,0.2673183310805,7.0,161.2,6.9,42.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.504191214877691,6.345348812137987,1.0370143846605775,1.0,185.3,6.2,44.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4828434935498548,3.7620343937277063,0.3322077877503646,6.0,104.4,10.0,38.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5093651170710564,4.860155734575018,0.2651560317711676,2.0,111.7,7.7,37.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5083541564299674,2.874393897571005,1.4128165627602396,2.0,391.5,8.6,32.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4869666869312294,1.1774221132171574,0.6905833527441767,2.0,421.9,9.5,29.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4085030471063839,1.456073698298631,0.713492433148406,5.0,525.0,10.0,30.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4709832715237081,2.491779870558556,0.8838533567288827,7.0,410.5,9.5,38.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4030792318237121,2.248863295395935,0.2549552744821912,2.0,318.7,9.6,27.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.35983491892247,3.0008494672116024,0.1028146543952233,5.0,198.0,10.0,40.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3001004056148299,3.759568847215313,-0.7250264632226138,0.0,292.3,9.9,39.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3123585313469229,1.7657712404903947,-0.3811457970550953,5.0,469.1,8.3,33.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3029065562812467,4.442347217932611,0.169108052215847,4.0,146.2,8.3,31.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3835158353461415,3.889912923931455,0.2950667319744227,1.0,121.2,9.6,36.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3463918366680758,3.789898646320781,-0.2243358138747229,0.0,173.5,9.3,37.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3010462033663796,5.988688556435519,-0.199456450586817,1.0,123.5,7.3,42.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3019363974216143,4.566342078071738,0.1645667628431939,0.0,164.6,7.1,41.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3958710229403577,5.740164692360256,0.489565068894334,2.0,72.4,10.0,35.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4036606647881058,5.806202348378586,1.0343218621303958,0.0,175.7,9.7,31.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.304290486352082,8.479048753669638,0.5359524619965348,5.0,101.0,10.0,29.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3020383982421286,8.368660017595005,0.5026965742220209,7.0,110.7,9.3,43.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3869535706164019,7.327734479157183,-0.1201071839371321,5.0,50.1,9.9,36.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3726206421536058,7.81332909626525,0.0493444746853795,6.0,50.7,7.4,22.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3650832886054175,7.044448659967477,-0.1189035347893898,5.0,90.4,10.0,24.5
