Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Efficiency left,Efficiency right,Torso distance,ik_height,ori_l,ori_theta,Best X velocity,Average energy,Max height,Max distance,Unique id,Cost,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,5.712427207745229,0.01858102168102027,1.0040322230212075e-14,13.873972405052845,0.30707540604561534,4.579026981474345e-16,8a6601fa,-9.15805396294869e-15,515.5,5.0,29.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,5.712427207745229,0.01858102168102027,9.909976204963686e-15,13.873972405052845,0.30707540604561534,4.579026981474345e-16,8a6601fa,-9.15805396294869e-15,515.5,5.0,29.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,5.712427207745229,0.01858102168102027,9.835525776876003e-15,13.873972405052845,0.30707540604561534,4.579026981474345e-16,8a6601fa,-9.15805396294869e-15,515.5,5.0,29.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,5.712427207745229,0.01858102168102027,9.901290996430313e-15,13.873972405052845,0.30707540604561534,4.579026981474345e-16,8a6601fa,-9.15805396294869e-15,515.5,5.0,29.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,5.712427207745229,0.01858102168102027,9.901290996430313e-15,13.873972405052845,0.30707540604561534,4.579026981474345e-16,8a6601fa,-9.15805396294869e-15,515.5,5.0,29.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3737915995838591,4.36842310708894,-0.0019462203355875562,2.8214939138875985e-15,14.119789836800548,0.3118604899246469,1.359035426223001e-16,62f9af0e,-2.718070852446002e-15,540.4,4.9,31.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3737915995838591,4.36842310708894,-0.0019462203355875562,2.9494105141870984e-15,14.119789836800548,0.3118604899246469,1.359035426223001e-16,62f9af0e,-2.718070852446002e-15,540.4,4.9,31.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3737915995838591,4.36842310708894,-0.0019462203355875562,2.9278229216290622e-15,14.119789836800548,0.3118604899246469,1.359035426223001e-16,62f9af0e,-2.718070852446002e-15,540.4,4.9,31.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3737915995838591,4.36842310708894,-0.0019462203355875562,2.9165725506026534e-15,14.119789836800548,0.3118604899246469,1.359035426223001e-16,62f9af0e,-2.718070852446002e-15,540.4,4.9,31.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3737915995838591,4.36842310708894,-0.0019462203355875562,2.9177668760295438e-15,14.119789836800548,0.3118604899246469,1.359035426223001e-16,62f9af0e,-2.718070852446002e-15,540.4,4.9,31.0
