thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,best_index,best_cost,ac1,ac2,ac3
0.2737812145164909,0.24852812693470627,U10,VT8020,20.199920711933242,7.608548148493731,WPG,CPG,0.07140286036095943,0.373681315050221,6,-1.0666669448776211,439.3,3.6,33.5
0.2696673710792444,0.2818733524101693,MN8014,VT8020,9.706839039389477,4.015186763547316,CPG,CPG,0.09913002808577276,0.3530718420798883,2,-3.636756821776233,620.3,4.4,30.6
0.27056886698620547,0.2788336850305896,U12,VT8020,12.02219645511916,7.480639179623525,WPG,CPG,0.09236716855566118,0.3543167322965084,6,-3.4917788832457965,576.5,6.0,24.9
0.2613773513847131,0.2885277492104046,U12,MAD_M6C12,11.068732333773525,5.937687434050078,CPG,SSPG,0.09169659495440091,0.3569648009511414,6,-6.577233476075296,461.9,4.5,27.9
0.25519428838214764,0.2948855386717056,U12,MAD_M6C12,11.116218104868372,7.19505927936865,CPG,CPG,0.09267097646169156,0.38194040638787113,0,-6.143522183249431,519.4,3.9,25.1
0.2640928070855538,0.28717551010408904,U12,MAD_M6C12,12.485861598687167,7.252758131215079,CPG,CPG,0.09443213276168305,0.34754240120059693,1,-6.5366150410584645,457.6,4.2,28.5
0.2599335248061543,0.28568635292886074,MN8014,MAD_M6C12,19.67234634131777,6.361821000855384,WPG,CPG,0.07235757795991904,0.3953187572196003,3,-5.618788598706018,430.9,4.1,27.2
0.25869546717426345,0.2945200999362373,U12,MAD_M6C12,14.110656271270607,6.799139723369694,WPG,CPG,0.08639603959896766,0.35823722915672795,2,-6.791358469394183,458.4,5.2,27.6
0.27417827986740667,0.33696668341756997,MN8014,MAD_M6C12,16.411530545464892,4.044420945908595,WPG,CPG,0.0891557742952966,0.3321059621409688,4,-7.182743532787132,551.1,4.9,33.0
0.2669079575213878,0.34022261981183577,VT8020,MAD_M6C12,23.4373897563504,4.003684130054656,WPG,CPG,0.08592733054689025,0.3839677431567087,7,-7.402675216635654,676.2,5.4,26.8
0.24275492597350762,0.3371195953153226,MN8014,MAD_M6C12,27.51680609751719,4.695867756459574,WPG,CPG,0.08619632156028806,0.385577493631169,4,-10.860058604964216,697.7,4.0,30.2
0.2510811394499298,0.3414184167935493,MN8014,MAD_M6C12,27.245175931755313,4.003670682390356,WPG,CPG,0.09430205905492142,0.3765441051805535,2,-13.027204058974167,559.9,5.9,30.3
0.226529796221694,0.3332946784488203,MN8014,MAD_M6C12,24.756852799665793,5.964581151282854,WPG,SSPG,0.11071174192269326,0.371580960296091,6,-12.137615547556479,599.7,4.0,31.2
0.21060397758753144,0.30784604233819035,MN8014,MAD_M6C12,27.613308094713084,4.000384051644036,WPG,CPG,0.09300857523810716,0.36749971325182273,6,-11.571506261214935,622.4,4.9,32.5
0.2323544288311911,0.3440267302140796,MN8014,MAD_M6C12,26.71400823772485,8.79944708553636,WPG,CPG,0.08907545908993875,0.3003831060387564,3,-14.629632673712806,629.9,3.3,31.1
0.2208516028856665,0.34483615694283787,MN8014,MAD_M6C12,29.05122559918382,5.222851542733583,WPG,SSPG,0.10134229094450184,0.30089817971385063,1,-15.858743185460924,681.5,3.5,32.4
0.23237171200019988,0.347855091385383,MN8014,MAD_M6C12,29.59840020686517,4.519860839066852,WPG,CPG,0.09228822300133618,0.3013389365363665,1,-15.574826610155505,608.0,4.0,26.4
0.2045580795234982,0.34529637896317034,MN8014,MAD_M6C12,30.981339578617593,4.533477066510242,WPG,CPG,0.08034849313311113,0.3005683101967315,0,-15.666053196178844,673.1,5.5,29.4
0.21467905299590456,0.3488604932358998,MN8014,MAD_M6C12,32.219441910467765,4.340427672401351,WPG,CPG,0.09258519588772457,0.30355190410418587,2,-15.914229843086034,730.1,5.1,31.2
0.18499570759696013,0.3325637382645466,MN8014,MAD_M6C12,27.343049940648886,4.623090297129356,WPG,SSPG,0.08901647895931625,0.30136315580639944,3,-17.496711880491596,691.6,6.3,28.7
0.1954080310044594,0.3445091483916296,MN8014,MAD_M6C12,31.313849205014613,4.37314773510229,WPG,SSPG,0.09653911159334998,0.30074731927676096,0,-17.531353987810803,673.5,5.2,24.0
0.19645074461125275,0.34916680267170525,MN8014,MAD_M6C12,35.931969435880625,4.445132453718424,WPG,SSPG,0.08623575132622449,0.3022448965723679,2,-19.305278781170145,832.1,5.3,25.6
0.1859323260018134,0.3396595236479483,MN8014,MAD_M6C12,39.87713914863465,4.248381382771838,WPG,CPG,0.10524235215836757,0.3101663723343372,1,-19.442538492085774,726.9,6.0,23.8
0.18388701408497296,0.3136707099013437,MN8014,MAD_M6C12,33.579335134865566,6.30238731815418,WPG,CPG,0.09708104167113739,0.30001162103770296,7,-16.739324905463157,660.6,5.4,16.9
0.1750839005061171,0.34292844463202043,VT8020,MAD_M6C12,35.727596548414496,4.568282340510838,WPG,SSPG,0.1003635275122967,0.3012892502300945,2,-12.129601709315217,731.1,6.3,21.1
0.17847742961209362,0.34788721377841003,MN8014,MAD_M6C12,34.725680103077885,4.8169335870303716,WPG,SSPG,0.09446023031049572,0.3071473269447462,1,-11.518057015197996,658.9,6.1,19.1
0.18428952951079855,0.3494205716025168,VT8020,MAD_M6C12,32.140971391688524,5.811211442428815,WPG,CPG,0.10434782170342342,0.30000704029393244,4,-10.659577161365654,500.9,6.2,21.4
0.20869435678409134,0.323344755524772,MN8014,MAD_M6C12,28.25767708619186,7.627087816736498,WPG,CPG,0.1102833399543463,0.30060278526856404,6,-16.409487546178745,554.1,6.4,20.7
0.20508216703457036,0.30610783269604747,MN8014,MAD_M6C12,31.25039651690806,8.992917444543131,WPG,CPG,0.11003676091275916,0.31412329518152987,2,-14.815407833421666,542.0,6.1,15.8
0.18883327711515333,0.32145342933805493,MN8014,MAD_M6C12,30.011145364114302,7.1738867243041025,WPG,CPG,0.12420222218334956,0.3000009950279147,3,-16.6371709548307,452.9,6.0,22.3
0.19163750462617235,0.3453336612758622,MN8014,MAD_M6C12,25.320967875543886,5.327960961199647,WPG,CPG,0.11788474479274078,0.305207032661863,6,-14.303967150702476,562.4,5.8,24.4
0.17073678746887389,0.31512425386791293,MN8014,MAD_M6C12,22.626756060506835,5.263011010489533,WPG,CPG,0.11822327388935618,0.3005289103475921,2,-15.207389750380656,525.2,6.2,23.6
0.1822580643273158,0.33092407909297955,MN8014,MAD_M6C12,28.294996401540466,4.9517414869780705,WPG,SSPG,0.11825568448472752,0.3005501895445976,6,-18.11047280978905,520.6,6.6,25.4
0.16415211176224037,0.32436784386845213,MN8014,MAD_M6C12,24.001181796140482,5.677640673498433,WPG,SSPG,0.13455918417160911,0.3096245069299184,3,-16.372068312598145,530.6,6.1,24.6
0.19513612340298936,0.318628596707053,MN8014,MAD_M6C12,28.884705093543914,4.02519038373784,WPG,CPG,0.12943185180861472,0.3214580952905549,5,-16.06767019300966,520.2,6.8,22.8
0.17449583147123654,0.32214205161457043,MN8014,MAD_M6C12,29.444089788441328,4.414873503083777,WPG,SSPG,0.12817449984778723,0.30160392495813826,1,-19.5963233277231,469.7,6.5,23.5
0.19615067315082146,0.3151769205130416,MN8014,MAD_M6C12,35.67193319258583,4.514579320668408,WPG,CPG,0.1177246443778426,0.3006963106757888,6,-19.5500673690268,579.1,7.3,23.9
0.20355628361856068,0.32829823536288216,MN8014,MAD_M6C12,36.46131603417095,4.339324477051732,WPG,CPG,0.12123211170041918,0.30014171600835743,0,-19.585626263390218,590.7,7.2,27.2
