Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Efficiency left,Efficiency right,Torso distance,ik_height,ori_l,ori_theta,Best X velocity,Average energy,Max height,Max distance,Unique id,Cost,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,5.712427207745229,0.01858102168102027,1.0032507566239251e-14,13.873972405052845,0.30707540604561534,4.579026981474345e-16,d4438e56,7.630684822779062,515.5,5.0,29.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,5.712427207745229,0.01858102168102027,9.999027048790731e-15,13.873972405052845,0.30707540604561534,4.579026981474345e-16,d4438e56,7.630684822779062,515.5,5.0,29.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,5.712427207745229,0.01858102168102027,9.60502869856657e-15,13.873972405052845,0.30707540604561534,4.579026981474345e-16,d4438e56,7.630684822779062,515.5,5.0,29.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,5.712427207745229,0.01858102168102027,9.934684377023589e-15,13.873972405052845,0.30707540604561534,4.579026981474345e-16,d4438e56,7.630684822779062,515.5,5.0,29.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,5.712427207745229,0.01858102168102027,1.0053829861543094e-14,13.873972405052845,0.30707540604561534,4.579026981474345e-16,d4438e56,7.630684822779062,515.5,5.0,29.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,4.669127090843158,0.7636620179603737,9.888609714005903e-16,14.333443568071056,0.3173583393656131,4.735013479570192e-17,a06be312,7.883393962439083,526.1,5.1,36.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,4.669127090843158,0.7636620179603737,9.84835091784407e-16,14.333443568071056,0.3173583393656131,4.735013479570192e-17,a06be312,7.883393962439083,526.1,5.1,36.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,4.669127090843158,0.7636620179603737,9.872633624182963e-16,14.333443568071056,0.3173583393656131,4.735013479570192e-17,a06be312,7.883393962439083,526.1,5.1,36.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,4.669127090843158,0.7636620179603737,9.872731780720506e-16,14.333443568071056,0.3173583393656131,4.735013479570192e-17,a06be312,7.883393962439083,526.1,5.1,36.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,4.669127090843158,0.7636620179603737,9.813701556752288e-16,14.333443568071056,0.3173583393656131,4.735013479570192e-17,a06be312,7.883393962439083,526.1,5.1,36.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3737915995838591,4.36842310708894,-0.0019462203355875562,2.7408798020622387e-15,14.119789836800548,0.3118604899246469,1.359035426223001e-16,3eae5ee3,7.765884410240303,540.4,4.9,31.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3737915995838591,4.36842310708894,-0.0019462203355875562,2.7370237268976425e-15,14.119789836800548,0.3118604899246469,1.359035426223001e-16,3eae5ee3,7.765884410240303,540.4,4.9,31.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3737915995838591,4.36842310708894,-0.0019462203355875562,2.8861372861925326e-15,14.119789836800548,0.3118604899246469,1.359035426223001e-16,3eae5ee3,7.765884410240303,540.4,4.9,31.0
