thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,best_index,best_cost,ac1,ac2,ac3
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.37989319480740086,6,7.400807386739324,617.7,5.1,28.5
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.41520059892527555,7,6.251549164641316,593.0,4.6,30.6
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.42589165180941246,5,6.318361725512198,560.4,5.6,29.8
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4957679642320315,7,6.286634282699584,297.6,5.4,31.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.41984299937698216,1,6.058672083230987,641.6,4.5,27.4
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4195058204778892,3,6.1514416009352315,425.1,4.1,31.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4876525750941574,2,6.266913102290567,281.9,5.3,25.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.47093187966555927,0,6.270216970782705,358.9,4.3,28.4
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.42346755013099574,2,6.224423353256306,427.5,4.4,31.1
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4372764653338159,3,6.297841194999588,378.5,5.4,34.2
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4235151667086686,7,6.234981672525553,418.7,5.6,28.9
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.41703614365008157,7,6.228385942919205,478.5,4.3,28.8
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.42480157531329144,3,6.247500603921689,579.3,4.2,29.6
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.41953016342553184,2,6.153550105325088,551.6,4.6,27.9
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4187606232983603,7,6.092228240704871,495.2,3.3,33.3
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4576370845234377,4,6.281105300851951,428.9,4.4,28.8
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.47469914806836366,1,6.256146182899683,422.7,4.0,27.1
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4594793589634786,7,6.2765613031157015,599.7,4.0,27.3
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.42515765528918126,3,6.2412596828404165,538.4,3.6,29.0
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4137802818474057,0,6.283102360746441,571.1,3.3,30.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.43793747319273413,5,6.359276504532352,604.9,3.7,24.5
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4231304634858012,1,6.1799136619188,369.5,5.6,30.8
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.42075228236444673,3,6.17152888435746,499.8,5.1,29.1
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.41828253570293994,0,6.056263613269504,501.7,5.6,28.9
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4202272487880352,0,6.132267686977843,539.0,5.1,30.3
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.41824300424034255,4,6.059381812815086,865.6,2.3,29.6
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4172114817930809,6,6.200352911001623,705.4,4.9,29.4
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4189524796331626,4,6.102343530672908,879.9,3.9,24.3
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.42028675677788907,3,6.144034895452712,573.9,5.5,29.5
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.42036785401066834,6,6.079381462143507,649.0,5.0,26.1
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4207160833835201,1,6.161895324327704,565.3,4.5,30.5
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4172618861928924,0,6.1987148088100374,741.0,3.3,30.1
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4187649998902559,7,6.086133131656973,648.3,4.0,28.8
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4202195737993187,7,6.131574095352904,801.4,3.0,28.4
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4190003030996649,1,6.11309176295195,527.6,5.6,29.6
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4197964957072631,3,6.048260189309117,419.0,6.8,29.1
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4207201245304996,3,6.162252732171668,502.7,6.3,28.4
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.41890608755890174,2,6.091701052358566,700.9,4.3,27.8
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4203021270096394,3,6.151803203478243,766.7,3.3,26.9
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4187845069961912,1,6.087788310308374,674.0,4.7,26.8
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.42171805577850713,0,6.133025063212296,616.8,5.5,27.3
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.41971324690558537,5,6.028256702204808,550.0,6.0,27.2
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4203607304330018,5,6.078772804168201,444.1,6.9,28.8
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.41885299792678415,0,6.087073524450899,525.0,6.5,27.5
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.41976307961765436,0,6.038954108419557,625.9,5.2,27.3
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.41980654470161155,3,6.049109982722044,630.6,5.1,27.3
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4203420870164715,6,6.070655902283708,631.3,4.8,27.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.419705536219452,1,6.027605338657278,592.5,5.4,27.9
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4198890775152562,0,6.069365187230142,479.5,6.6,28.6
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4188156099366882,2,6.090309477168155,445.3,7.0,28.4
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.41977183701573695,1,6.039692869944815,507.8,6.3,27.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.41971190167296707,7,6.028143114072321,567.4,5.5,27.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4198577273843619,0,6.06638397158598,490.7,6.5,28.5
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4198323375916032,3,6.05776767914648,464.4,6.8,28.6
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4200838191803393,6,6.1120270766920175,432.8,7.2,29.5
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4199356425528586,0,6.0797892844451225,405.6,7.3,29.3
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4197077741510375,7,6.0277944607327605,399.6,7.6,29.2
