thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,best_index,best_cost,ac1,ac2,ac3
0.297,0.302,MN8014,U12,13.611213770622978,4.9773123228996905,CPG,SSPG,0.125,0.3845417302846151,2,-3.394954629126609,468.6,4.1,28.3
0.297,0.302,U12,MN8014,12.224580135305157,4.972027849392189,WPG,SSPG,0.125,0.4106261252469001,2,-9.153817440630036,430.0,5.9,31.6
0.297,0.302,U12,MN8014,14.22584796325221,9.146744912815269,WPG,CPG,0.125,0.3671426893305375,7,-8.582838910891365,493.7,6.3,31.5
0.297,0.302,U12,MN8014,20.937559830127427,10.990920345146105,WPG,CPG,0.125,0.3724009608421183,1,-11.740846427566773,535.4,5.1,27.0
0.297,0.302,U12,MN8014,21.029883866612426,9.102814897716696,WPG,CPG,0.125,0.4021547973222063,1,-11.856534795412088,526.3,4.7,28.6
0.297,0.302,U12,MN8014,22.780900954578634,4.300872166430161,WPG,CPG,0.125,0.39934830207391825,4,-13.38574602133037,594.7,4.9,30.3
0.297,0.302,U12,MN8014,25.61504837885004,4.343663709721769,WPG,CPG,0.125,0.4163793792763655,2,-13.884788745329981,541.4,6.8,29.9
0.297,0.302,U12,MN8014,25.621566963588393,5.578828401388886,WPG,SSPG,0.125,0.43831895086455785,0,-14.871585977988737,716.1,6.7,32.0
0.297,0.302,U12,MN8014,30.567646016428434,4.018845034948172,WPG,SSPG,0.125,0.4096896518551538,1,-14.022262011985738,709.4,6.2,33.0
0.297,0.302,U12,MN8014,23.68492587054643,7.421427232192076,WPG,CPG,0.125,0.394677515279357,1,-13.694097173336111,771.8,7.0,31.9
0.297,0.302,U12,MN8014,35.47464989699401,7.834384792988653,WPG,CPG,0.125,0.421809736020877,4,-16.141340025051235,992.2,6.3,35.3
0.297,0.302,U12,MN8014,29.805403819911632,4.6445303262279545,WPG,SSPG,0.125,0.43449833923156467,0,-14.740664612122139,898.5,6.6,35.1
0.297,0.302,U12,MN8014,25.86457760634732,4.000077858710294,WPG,SSPG,0.125,0.42399441278854855,1,-14.989889056470751,734.0,6.1,34.1
0.297,0.302,U12,MN8014,32.72263942880883,5.225399240591825,WPG,SSPG,0.125,0.4230996710390206,2,-17.440799444329755,870.7,5.8,35.6
0.297,0.302,U12,MN8014,30.500024110539957,4.04210735384924,WPG,SSPG,0.125,0.42544194618285164,1,-15.906101559952894,859.6,6.1,35.3
0.297,0.302,U12,MN8014,30.767064730967004,4.0146065292584865,WPG,SSPG,0.125,0.42166378286602313,3,-16.730022729099133,767.0,5.2,32.9
0.297,0.302,U12,MN8014,31.62446511672708,4.010233266129567,WPG,SSPG,0.125,0.4178178429587076,5,-16.55769152599519,820.9,5.4,34.3
0.297,0.302,U12,MN8014,27.919855284288783,4.029351443992227,WPG,SSPG,0.125,0.4331940315229562,3,-15.098416740844797,923.5,6.1,37.3
0.297,0.302,U12,MN8014,29.717613027365672,4.011398888583651,WPG,SSPG,0.125,0.42636508459804034,4,-16.642323272386115,843.0,6.0,35.6
0.297,0.302,U12,MN8014,28.28331603788892,4.251775584777004,WPG,CPG,0.125,0.415622349324008,0,-15.787141910284959,815.1,5.9,39.2
0.297,0.302,U12,MN8014,25.644212323365082,4.045625682711038,WPG,SSPG,0.125,0.4132780137232961,4,-16.586379675451283,822.2,5.9,36.1
0.297,0.302,U12,MN8014,31.158405771041526,4.920821697104466,WPG,CPG,0.125,0.41077404774985105,0,-16.62746285279004,910.8,6.1,37.4
0.297,0.302,U12,MN8014,30.858697655468234,5.493652467107611,WPG,SSPG,0.125,0.41207641846220394,5,-17.080729780568852,910.6,6.3,38.7
0.297,0.302,U12,MN8014,27.03039824533413,4.000812589765981,WPG,SSPG,0.125,0.42281749361737075,3,-16.622395091730652,827.2,6.3,40.5
0.297,0.302,U12,MN8014,27.18177361356092,4.071129866205125,WPG,SSPG,0.125,0.41904110424286845,6,-16.65102032307314,813.1,6.1,41.7
0.297,0.302,U12,MN8014,29.74525999706585,4.561926430923888,WPG,SSPG,0.125,0.42370646410398427,4,-16.95385458980327,829.2,5.4,37.0
0.297,0.302,U12,MN8014,26.915867801644325,4.405115582284991,WPG,SSPG,0.125,0.42722030671136635,4,-16.33251817409731,739.4,5.9,40.4
0.297,0.302,U12,MN8014,26.814536150189554,4.482571484942408,WPG,SSPG,0.125,0.4173068740080673,0,-16.460317996567014,724.3,5.8,37.5
0.297,0.302,U12,MN8014,24.44191952685042,4.763509139623693,WPG,SSPG,0.125,0.42376023195788787,5,-16.215012061052448,699.3,4.9,37.7
0.297,0.302,U12,MN8014,26.88464162497412,5.233416295261444,WPG,SSPG,0.125,0.4213458168920578,5,-16.695487571660067,736.5,5.7,39.7
0.297,0.302,U12,MN8014,25.609374624717272,5.7092397124257275,WPG,SSPG,0.125,0.42209730691976716,3,-16.970625355900097,655.0,5.5,38.9
0.297,0.302,U12,MN8014,28.410213828731823,5.696912922468756,WPG,SSPG,0.125,0.4079920060122861,6,-16.948344259688547,700.7,5.4,40.1
0.297,0.302,U12,MN8014,29.100419686670413,5.9895161330031845,WPG,SSPG,0.125,0.41614148603861023,3,-15.36310935135264,682.9,5.4,42.8
0.297,0.302,U12,MN8014,26.95391058416121,4.514622136100403,WPG,SSPG,0.125,0.422633622810849,6,-16.13538458462046,668.2,6.1,38.6
0.297,0.302,U12,MN8014,28.680032011558527,4.538120511857031,WPG,SSPG,0.125,0.42715882320935467,4,-16.61123424049846,717.4,6.1,42.1
0.297,0.302,U12,MN8014,27.043498240358044,4.407144859150911,WPG,SSPG,0.125,0.427913681393382,2,-16.671687818587728,682.8,6.4,40.9
0.297,0.302,U12,MN8014,28.01448129928281,4.547875678037254,WPG,SSPG,0.125,0.426013810227413,5,-16.305142767584158,694.3,6.0,43.4
0.297,0.302,U12,MN8014,28.3688125751696,5.431931552442999,WPG,SSPG,0.125,0.42336818836660217,5,-16.799679514271205,691.5,6.3,42.3
0.297,0.302,U12,MN8014,29.58108613628615,6.664690221029691,WPG,CPG,0.125,0.41541137276247786,7,-16.36412732852189,697.5,6.1,42.0
0.297,0.302,U12,MN8014,26.81767987632698,4.89528325862951,WPG,CPG,0.125,0.4267449638150621,1,-16.351245567387473,718.1,5.8,42.5
0.297,0.302,U12,MN8014,29.476209878662075,6.090011115212402,WPG,SSPG,0.125,0.42293321038759013,1,-16.149296878710814,758.6,6.1,45.0
0.297,0.302,U12,MN8014,31.019114320133088,6.257064343337744,WPG,SSPG,0.125,0.4246851632265024,2,-17.09996219536815,780.2,6.5,46.5
0.297,0.302,U12,MN8014,27.387218149886095,4.269340129985789,WPG,CPG,0.125,0.43257860967275163,3,-16.18305421640661,735.1,6.8,44.1
0.297,0.302,U12,MN8014,28.998218523472957,4.150654091949336,WPG,SSPG,0.125,0.4342223113938145,0,-16.62901360462837,749.1,6.9,46.1
0.297,0.302,U12,MN8014,28.38749741699064,4.365451475322841,WPG,SSPG,0.125,0.42705571546794585,0,-17.41805322831516,750.3,7.2,47.1
0.297,0.302,U12,MN8014,30.38833210252563,5.54176890474006,WPG,SSPG,0.125,0.41480466810590694,4,-16.065148521939996,805.0,7.1,47.9
0.297,0.302,U12,MN8014,30.791176525907453,4.207630701876442,WPG,SSPG,0.125,0.4211621996179406,0,-17.070416259870278,861.8,7.5,47.2
0.297,0.302,U12,MN8014,29.61798470673879,4.427322492277024,WPG,SSPG,0.125,0.4291223656332074,7,-18.222679217286306,754.5,7.2,48.9
0.297,0.302,U12,MN8014,29.587335308545576,4.006277683012143,WPG,SSPG,0.125,0.4277494362535034,1,-18.100060489078693,859.6,7.4,46.5
0.297,0.302,U12,MN8014,32.55277805322372,4.739131514946132,WPG,CPG,0.125,0.42612734470032015,4,-17.193474764950984,793.1,7.2,46.8
0.297,0.302,U12,MN8014,31.258195717881783,4.01486321479078,WPG,SSPG,0.125,0.4224111114906517,0,-17.45853514392438,876.4,7.0,44.5
0.297,0.302,U12,MN8014,35.43644247876203,4.971673336621219,WPG,SSPG,0.125,0.4151834935768784,5,-17.46685224867236,856.1,7.4,46.9
0.297,0.302,U12,MN8014,33.456553922902195,4.190754466668299,WPG,SSPG,0.125,0.4219261122169211,2,-16.96188834559659,919.8,7.2,47.3
0.297,0.302,U12,MN8014,32.975807037335976,4.048125288732811,WPG,SSPG,0.125,0.43304699087153065,6,-18.757497091042815,888.7,8.4,47.5
0.297,0.302,MN8014,MN8014,36.041008312643044,4.623596732361957,WPG,SSPG,0.125,0.4199588022868397,4,-17.71505748332659,969.1,8.0,45.9
0.297,0.302,U12,MN8014,33.00602259804593,4.461582019208427,WPG,SSPG,0.125,0.4301074152312786,4,-19.258914539331734,992.9,8.3,48.0
0.297,0.302,MN8014,MN8014,36.557153543709305,4.596025913550857,WPG,SSPG,0.125,0.4207467005258556,2,-18.711916417208872,999.4,8.0,43.7
0.297,0.302,U12,MN8014,36.39259967236352,4.403169758985814,WPG,SSPG,0.125,0.42754138992968027,4,-19.30855060846701,1000.0,8.2,46.0
0.297,0.302,MN8014,MN8014,41.82901846823579,4.533040351755282,WPG,SSPG,0.125,0.4058378262057631,7,-19.165059718245836,959.2,8.3,46.2
0.297,0.302,U12,MN8014,37.22726328706791,4.002537247131133,WPG,SSPG,0.125,0.42032267692242076,5,-18.239822800601893,999.4,7.9,42.9
0.297,0.302,MN8014,MN8014,41.84519021036957,4.333968785313434,WPG,CPG,0.125,0.4109060648781123,2,-19.20947964715741,977.6,8.3,45.4
0.297,0.302,MN8014,MN8014,36.20327216418214,4.006942449656807,WPG,SSPG,0.125,0.4193924545983737,4,-18.475036922655114,995.8,8.6,46.5
0.297,0.302,MN8014,MN8014,36.56190769823512,4.028649325461726,WPG,SSPG,0.125,0.422417049873917,5,-18.710005980562425,933.4,7.8,46.4
0.297,0.302,U12,MN8014,34.99352828389466,4.228562779373585,WPG,SSPG,0.125,0.41734308889532057,4,-18.710543300622966,983.7,8.0,49.0
0.297,0.302,U12,MN8014,38.63598620411996,4.436899933473359,WPG,SSPG,0.125,0.4223410626506841,0,-18.45980082106562,971.1,8.0,49.2
0.297,0.302,U12,MN8014,35.676264999827865,5.719924325417516,WPG,SSPG,0.125,0.42736917279778597,3,-18.424926315657423,968.5,7.3,47.4
0.297,0.302,MN8014,MN8014,35.98622904577158,5.008565277495357,WPG,SSPG,0.125,0.42010872502726687,1,-17.521086973262328,946.9,7.2,47.5
0.297,0.302,MN8014,MN8014,39.76554765973768,4.425606381174401,WPG,SSPG,0.125,0.4165320372518521,2,-19.035729559911225,998.3,6.8,43.4
