Thigh,Calf,Hip motor,Knee motor,Hip ratio,Knee ratio,Gearbox hip,Gearbox knee,Efficiency hip,Efficiency knee,Torso distance,ik_height,Best X velocity,Average energy,Max height,Max distance,Unique id,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,0.02684837216449215,8.820251141338854,0.23046406544454476,0.0727981814175432,61314093,726.4,3.5,32.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,0.027538158458818997,8.820251141338854,0.23046406544454476,0.0727981814175432,61314093,726.4,3.5,32.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,0.027861282682762875,8.820251141338854,0.23046406544454476,0.0727981814175432,61314093,726.4,3.5,32.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,0.02819290238873508,8.820251141338854,0.23046406544454476,0.0727981814175432,61314093,726.4,3.5,32.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,0.028241054251120588,8.820251141338854,0.23046406544454476,0.0727981814175432,61314093,726.4,3.5,32.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,0.02772620073611755,9.130367771961673,0.2375856671243613,0.0795308152232877,6e20d511,617.7,5.1,28.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,0.031027954239302945,9.130367771961673,0.2375856671243613,0.0795308152232877,6e20d511,617.7,5.1,28.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,0.030931885825295418,9.130367771961673,0.2375856671243613,0.0795308152232877,6e20d511,617.7,5.1,28.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,0.03093036285793545,9.130367771961673,0.2375856671243613,0.0795308152232877,6e20d511,617.7,5.1,28.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,0.0310489243536924,9.130367771961673,0.2375856671243613,0.0795308152232877,6e20d511,617.7,5.1,28.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35562809677511104,0.032068849850462655,9.55024234275833,0.24569449980746488,0.09684713841834214,5452f9cb,518.7,3.8,29.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35562809677511104,0.0351865864845949,9.55024234275833,0.24569449980746488,0.09684713841834214,5452f9cb,518.7,3.8,29.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35562809677511104,0.03499921119941821,9.55024234275833,0.24569449980746488,0.09684713841834214,5452f9cb,518.7,3.8,29.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35562809677511104,0.03527031426441453,9.55024234275833,0.24569449980746488,0.09684713841834214,5452f9cb,518.7,3.8,29.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35562809677511104,0.03612015642723397,9.55024234275833,0.24569449980746488,0.09684713841834214,5452f9cb,518.7,3.8,29.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,0.027057000637190833,9.38243560130796,0.24257150809424657,0.09148580993141359,00fb1fcc,518.6,7.4,29.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,0.03349728443294994,9.38243560130796,0.24257150809424657,0.09148580993141359,00fb1fcc,518.6,7.4,29.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,0.03345956105204472,9.38243560130796,0.24257150809424657,0.09148580993141359,00fb1fcc,518.6,7.4,29.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,0.03370250507058574,9.38243560130796,0.24257150809424657,0.09148580993141359,00fb1fcc,518.6,7.4,29.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,0.0347450787106745,9.38243560130796,0.24257150809424657,0.09148580993141359,00fb1fcc,518.6,7.4,29.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3500986652880233,0.03567408525082233,9.823273997512143,0.25139573459744563,0.10309248807115956,c7c0e99c,539.9,5.8,27.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3500986652880233,0.034928107198191956,9.823273997512143,0.25139573459744563,0.10309248807115956,c7c0e99c,539.9,5.8,27.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3500986652880233,0.036283459529610027,9.823273997512143,0.25139573459744563,0.10309248807115956,c7c0e99c,539.9,5.8,27.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3500986652880233,0.03641388549843189,9.823273997512143,0.25139573459744563,0.10309248807115956,c7c0e99c,539.9,5.8,27.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3500986652880233,0.03736188800095952,9.823273997512143,0.25139573459744563,0.10309248807115956,c7c0e99c,539.9,5.8,27.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.33923513158996266,0.037921049535782306,9.875112605079915,0.25205835245876484,0.11121054355067111,c770b086,607.3,3.3,27.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.33923513158996266,0.03899278399931536,9.875112605079915,0.25205835245876484,0.11121054355067111,c770b086,607.3,3.3,27.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.33923513158996266,0.03858270876163448,9.875112605079915,0.25205835245876484,0.11121054355067111,c770b086,607.3,3.3,27.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.33923513158996266,0.03883782218967945,9.875112605079915,0.25205835245876484,0.11121054355067111,c770b086,607.3,3.3,27.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.33923513158996266,0.04022202723630919,9.875112605079915,0.25205835245876484,0.11121054355067111,c770b086,607.3,3.3,27.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3205817634434413,0.039820025240336634,10.32463540445039,0.2598037961747982,0.1226884823989837,d1c60088,468.6,4.1,28.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3205817634434413,0.041914732907532566,10.32463540445039,0.2598037961747982,0.1226884823989837,d1c60088,468.6,4.1,28.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3205817634434413,0.041024575825375,10.32463540445039,0.2598037961747982,0.1226884823989837,d1c60088,468.6,4.1,28.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3205817634434413,0.04234980278837664,10.32463540445039,0.2598037961747982,0.1226884823989837,d1c60088,468.6,4.1,28.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3205817634434413,0.04440386480222935,10.32463540445039,0.2598037961747982,0.1226884823989837,d1c60088,468.6,4.1,28.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35328829524734545,0.025610114860632797,9.712556327106899,0.2492211873961095,0.10076354591528576,ebabe005,700.3,4.1,27.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35328829524734545,0.03582395008760474,9.712556327106899,0.2492211873961095,0.10076354591528576,ebabe005,700.3,4.1,27.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35328829524734545,0.035305056155947194,9.712556327106899,0.2492211873961095,0.10076354591528576,ebabe005,700.3,4.1,27.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35328829524734545,0.03572109390041545,9.712556327106899,0.2492211873961095,0.10076354591528576,ebabe005,700.3,4.1,27.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35328829524734545,0.03888116920772929,9.712556327106899,0.2492211873961095,0.10076354591528576,ebabe005,700.3,4.1,27.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3661143110767977,0.033727994781684645,9.331465817245775,0.24324797261133876,0.09685304954454484,8ece194d,493.2,4.8,21.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3661143110767977,0.036052893503715246,9.331465817245775,0.24324797261133876,0.09685304954454484,8ece194d,493.2,4.8,21.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3661143110767977,0.03589720340656932,9.331465817245775,0.24324797261133876,0.09685304954454484,8ece194d,493.2,4.8,21.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3661143110767977,0.03620293416614043,9.331465817245775,0.24324797261133876,0.09685304954454484,8ece194d,493.2,4.8,21.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3661143110767977,0.03595458962219442,9.331465817245775,0.24324797261133876,0.09685304954454484,8ece194d,493.2,4.8,21.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.36135729549397505,0.033363252226630134,9.361243411065862,0.24331469522803992,0.09886121254482089,d83d2bcf,464.8,3.8,23.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.36135729549397505,0.03635951806336434,9.361243411065862,0.24331469522803992,0.09886121254482089,d83d2bcf,464.8,3.8,23.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.36135729549397505,0.03638788358916428,9.361243411065862,0.24331469522803992,0.09886121254482089,d83d2bcf,464.8,3.8,23.1
