thigh_length,calf_length,motor_hip_name,motor_knee_name,gear_hip_ratio,gear_knee_ratio,gearbox_hip,gearbox_knee,torso_distance,ik_height,best_index,best_cost,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.33923513158996266,3,2.9146556984642347,607.3,3.3,27.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3010991610684456,5,2.903875908834859,503.2,3.8,24.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3220787142549271,1,2.622362219851367,384.4,3.4,12.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3020929202296982,2,2.4367580076602624,140.0,1.8,11.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3916203920121145,5,2.021925494849309,58.0,0.9,10.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30085023692635343,2,2.4567362852001606,169.6,4.7,13.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.31468008009065485,3,2.513561375809354,252.3,1.2,12.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3348252370280971,6,2.1502640811128924,50.3,0.2,15.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4234155637061408,6,2.078425715247014,60.3,1.1,17.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3249043920066927,2,2.0113215518289964,54.6,1.7,10.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3186410307977481,4,2.112239426155442,62.0,3.0,11.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3003427907838876,3,1.7376055294352928,50.2,4.8,10.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30020276132254337,0,1.871974985780363,50.9,4.7,13.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3875539885550651,6,2.053351868020293,64.1,2.9,13.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3021001126223407,1,1.985277428399698,66.4,6.4,10.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30014564883169675,1,1.681455466326143,53.0,7.6,10.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3008958534891078,3,1.7060277307282663,50.1,6.7,11.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30000289606228897,6,1.6759207139123418,52.9,6.6,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.34069819289662434,6,1.6828652435207934,51.7,7.1,10.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3113653867289211,0,1.6672098661334327,52.0,7.1,10.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3015808304928443,2,1.6207386777824453,51.1,8.0,10.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3001671335384307,0,1.6096441569118232,50.0,7.2,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30383261368414394,1,1.5880805706259677,50.0,8.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.305995558789232,1,1.564830947781551,50.1,8.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3010560697405567,2,1.5615393973425342,50.7,8.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30673343897101885,1,1.5793142765020447,50.0,8.6,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.32335256374432886,1,1.5566483333870205,50.1,9.7,10.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3777082205614259,3,1.5127143972808064,50.6,9.6,10.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3749083479763578,4,1.5165225925825678,50.0,10.0,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3778093202888644,1,1.4882177483084467,50.6,9.9,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.33421037255535574,3,1.5219835164465818,50.0,9.8,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3527573046191681,0,1.5318320202407374,50.1,10.0,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3600460774990278,0,1.5267799746617503,50.7,10.0,10.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.37039486185803777,1,1.521124719091507,50.0,9.6,10.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3877588891305047,6,1.4750197111900816,50.1,9.8,10.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.38625449078634977,4,1.47239486300897,50.0,9.6,10.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3901712089683158,2,1.4664703806381205,50.3,9.6,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.385928606115786,4,1.4783480556828883,50.3,9.7,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.38769624973174854,1,1.4723577864336688,50.0,9.7,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3820445037325088,6,1.4900273199565586,51.8,10.0,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3912191932549612,0,1.4842594104660427,51.8,10.0,10.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3906560680690946,5,1.485069161565581,50.9,9.8,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3887515796904032,3,1.4833207721471882,50.7,9.6,10.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.38107752554411384,3,1.5019195141414121,51.0,9.7,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3886697554893493,5,1.4848794396996923,51.9,10.0,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3876383669237147,3,1.480053934919773,50.8,9.6,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.38282390403062017,3,1.4936654540888938,51.8,9.9,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3877664873735243,2,1.4640106415796366,50.7,9.7,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3901461263206892,5,1.471288334516968,51.3,9.8,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.38747098801659835,2,1.4704275162392804,50.8,9.8,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3886461643269457,6,1.4728324860309547,50.8,9.8,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3905819734512821,7,1.4845735234854418,50.7,9.7,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3887861357799043,6,1.4738796135369368,50.9,9.8,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.38675233088176564,0,1.4767471244679038,51.0,9.8,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3873492877098701,3,1.4697818686259423,50.9,9.9,10.0
