thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,ori_l,ori_theta,best_index,best_cost,ac1,ac2,ac3
0.297,0.302,U12,MN8014,18.862115805670513,5.227709385874933,WPG,SSPG,0.125,0.3632368246065512,4.669128193751017,0.7636569268972244,0,7.445382312328649,493.8,5.2,28.7
0.297,0.302,U10,MN8014,16.826247948455585,4.268567788739466,CPG,CPG,0.125,0.3873521939626529,3.941940986581611,0.44800488515698245,4,4.230113174543693,542.0,5.0,21.0
0.297,0.302,U10,MN8014,11.26242476216935,4.146494131262048,CPG,SSPG,0.125,0.35694162966088594,3.464203779725936,0.07771124298996446,6,3.3455604647584165,526.3,5.0,27.0
0.297,0.302,U10,MN8014,8.498562705383243,4.083131559286656,CPG,SSPG,0.125,0.36858835581098504,4.668232706989181,-0.38423801532911517,6,4.159713919953122,457.1,4.4,25.0
0.297,0.302,U12,MN8014,6.247385606133803,4.78093500557354,SSPG,SSPG,0.125,0.3446769408585983,4.5027448222699835,0.021675589995874933,6,4.524430318001947,580.6,3.9,25.6
0.297,0.302,U12,MN8014,7.320817378047762,4.103378804076659,SSPG,SSPG,0.125,0.3481997889314405,4.908908491942967,-0.6591806141512588,4,5.359716146451467,463.7,3.7,23.3
0.297,0.302,U10,U12,4.6125962289985,7.046820025451418,SSPG,SSPG,0.125,0.3749403443544605,4.6766134535572075,-0.7281921066813779,5,3.587555347911394,373.9,4.0,29.9
0.297,0.302,U10,U12,5.576203104924413,12.22782229985282,CPG,CPG,0.125,0.3643489094299103,4.877989760281551,-0.8011985451558417,1,5.747609505591795,438.9,5.2,30.2
0.297,0.302,U10,MN8014,6.016783818921202,12.696955067019125,SSPG,CPG,0.125,0.3466175195229606,4.927322988399865,-0.4570888692074764,4,4.741492064335672,449.3,5.3,37.3
0.297,0.302,U10,MN8014,5.9021111163282844,9.715149007208407,SSPG,CPG,0.125,0.3618497900739262,5.98466913846609,-0.7117911058081824,5,3.569525175745829,506.3,6.3,30.0
0.297,0.302,U10,MN8014,5.92528659549296,15.719859036571094,SSPG,CPG,0.125,0.3952643861744696,4.4332480321758,-0.08022951047064941,4,4.350178763355187,393.2,5.7,33.4
0.297,0.302,U10,MN8014,4.220811410403045,10.282139696685563,CPG,CPG,0.125,0.3756825657811578,4.211360352081748,-0.3771586295691889,7,2.8540807580704346,376.2,5.8,30.0
0.297,0.302,U8,MN8014,4.979342562853121,12.642947750243946,CPG,CPG,0.125,0.39860418356791133,4.087654127370939,-0.5417930739791559,1,2.5528638610172294,442.5,6.4,27.9
0.297,0.302,U10,MN8014,4.482063208505535,7.925202444422655,CPG,CPG,0.125,0.39098551120118924,4.348355939220631,-0.42678739871163085,4,2.3752181747945995,478.7,4.6,22.6
0.297,0.302,U8,MN8014,5.165004176618543,4.410782336403588,SSPG,SSPG,0.125,0.41520524096313205,4.846015346235309,-0.4949440662850617,1,1.2033460284546145,482.4,5.0,25.6
0.297,0.302,U8,MN8014,4.314265811216422,4.688150528938543,CPG,CPG,0.125,0.42137420043577856,4.286454611565425,-0.02624697448309221,5,0.9446349487563621,441.0,6.4,21.7
0.297,0.302,U8,MN8014,4.050631320594161,4.145404061879999,CPG,SSPG,0.125,0.4394476022113596,4.27751118925098,-0.2155703713713759,4,0.8639326155414189,443.9,5.9,31.4
0.297,0.302,U8,MN8014,4.330931617420525,4.390474869057753,CPG,SSPG,0.125,0.43407844084091685,5.043693722226602,-0.07950021462278589,6,0.9065303200727577,486.1,6.6,25.8
0.297,0.302,U8,MN8014,4.0063733728269435,4.000318660218406,CPG,SSPG,0.125,0.45105799887132886,4.796848881337526,-0.18758449971054536,0,0.8957180299694616,545.4,5.9,17.4
0.297,0.302,U8,MN8014,4.3790247199709285,4.006547667262407,CPG,SSPG,0.125,0.4226140124448155,4.62918679900358,-0.3029934371969374,6,0.8563272804439284,471.8,5.4,18.1
0.297,0.302,U8,MN8014,4.003210934336381,4.404164065480644,CPG,SSPG,0.125,0.41410061504140516,4.369555113198514,0.14674377793190052,7,0.7060081945916261,496.3,5.7,18.4
0.297,0.302,U8,MN8014,4.020515158341524,4.002994644977368,CPG,SSPG,0.125,0.4600457248195482,4.24748059567098,0.08961695938631253,0,0.9716245885548918,476.7,4.8,20.1
0.297,0.302,U8,MN8014,4.3555021424922105,4.405318077206012,CPG,SSPG,0.125,0.4460403070950547,3.8852367548458173,-0.05940330475529998,0,0.9591760983525339,531.4,5.1,19.3
0.297,0.302,U8,MN8014,4.002764762853864,4.483249407724923,CPG,SSPG,0.125,0.4370312713916711,3.7204812290050797,0.1311809509947599,7,0.7395269044784802,383.2,5.4,20.0
0.297,0.302,U8,MN8014,4.767728669740609,4.317783969596634,CPG,CPG,0.125,0.4219096255611933,3.393095137728488,0.10399547595461844,6,1.030647745097987,391.2,5.2,15.8
0.297,0.302,U8,MN8014,4.019687400694137,4.273609496960203,CPG,CPG,0.125,0.43793403164058553,3.573453844781944,0.17337575511213732,4,0.7772447534267286,450.0,5.4,19.9
0.297,0.302,U8,MN8014,4.001046786712716,4.017536531325351,CPG,SSPG,0.125,0.413227393608343,3.694908363576527,-0.0315995618628393,4,0.6879773427173101,363.7,5.7,18.3
0.297,0.302,U8,MN8014,4.0264451641594485,4.485455577119111,CPG,SSPG,0.125,0.42764993902268333,3.2889280910192253,0.03779908780579633,2,0.7345541700553664,404.8,5.3,17.3
0.297,0.302,U8,MN8014,4.006302848977934,4.221887986515482,CPG,SSPG,0.125,0.4203681832553189,4.080626465956863,0.07238845365540114,3,0.6892447301306341,403.0,4.7,18.2
0.297,0.302,U8,MN8014,4.128634137744611,4.260826898031343,CPG,CPG,0.125,0.4345669854251395,3.3915323526810504,0.047924852944958296,4,0.8232284590679342,334.3,5.1,15.9
0.297,0.302,U8,MN8014,4.005213177035092,4.452288691404763,CPG,SSPG,0.125,0.42275071201473113,3.2593375677705265,-0.20135902268972083,7,0.6962773548480348,368.9,6.1,17.5
0.297,0.302,U8,MN8014,4.236853548601878,4.3305624320622105,CPG,CPG,0.125,0.4055151737199626,3.05464706005177,-0.24844425639332934,4,0.7565927668559311,330.2,5.6,20.7
0.297,0.302,U8,MN8014,4.001320713437605,4.4070458219836075,CPG,SSPG,0.125,0.4099044348773237,2.471440720398554,-0.058828390176608014,5,0.6922877959525646,409.7,5.7,15.7
0.297,0.302,U8,MN8014,4.037562589612971,4.419847026437849,CPG,SSPG,0.125,0.41727822297062167,2.8162316609838673,-0.03481638123172792,1,0.7176513494229564,384.7,5.6,17.7
0.297,0.302,U8,MN8014,4.008587877170046,4.022801518071821,CPG,SSPG,0.125,0.42631700744588624,2.491417795090069,0.05802088364815883,6,0.7066350436737223,397.2,5.2,16.6
0.297,0.302,U8,MN8014,4.01557366938945,4.009697628608912,CPG,SSPG,0.125,0.41910005716381815,2.8030849111183045,-0.04387653548103598,2,0.7148288374101321,417.3,5.7,18.6
0.297,0.302,U8,MN8014,4.006343290282922,4.03167299341866,CPG,SSPG,0.125,0.4225815039475744,2.870406547840065,-0.2917176739729017,5,0.7005441543949176,366.0,6.0,18.8
0.297,0.302,U8,MN8014,4.000006874589444,4.012281005895262,CPG,SSPG,0.125,0.4297368407209964,3.061298171938442,-0.2648802589353656,0,0.7192726338253377,395.1,6.2,18.7
0.297,0.302,U8,MN8014,4.011049452888307,4.42154114833643,CPG,SSPG,0.125,0.4157244379615319,2.81476092007079,0.02603470034219102,7,0.6968389068728342,364.2,6.1,19.7
0.297,0.302,U8,MN8014,4.006977566723735,4.437857948609766,CPG,SSPG,0.125,0.42224555075592224,3.2958925887242403,-0.12113273627036114,7,0.6886526778749058,395.4,6.3,19.3
0.297,0.302,U8,MN8014,4.003269283875348,4.0492842255751125,CPG,SSPG,0.125,0.4205322991274544,2.8366906165433106,-0.24237823855619922,1,0.6915846495160087,400.2,6.1,18.5
0.297,0.302,U8,MN8014,4.047921696485137,4.426248655117704,CPG,SSPG,0.125,0.41990775829856075,2.6721492286145034,-0.16267733606299584,6,0.7014930101196626,374.5,6.6,19.6
0.297,0.302,U8,MN8014,4.000006877785888,4.209084761390405,CPG,SSPG,0.125,0.4222267019882702,2.599005865417437,-0.2572406642597158,6,0.703195429570076,388.2,6.4,18.2
0.297,0.302,U8,MN8014,4.007082918932693,4.230937037926849,CPG,SSPG,0.125,0.418022344854984,2.5029368978783335,-0.2353009616306183,2,0.6760153907667963,363.7,6.3,17.5
0.297,0.302,U8,MN8014,4.001564383304272,4.236703551280199,CPG,SSPG,0.125,0.41961166793955995,2.904265647569169,-0.28833713009346584,5,0.6883325395202684,333.8,6.1,17.7
0.297,0.302,U8,MN8014,4.02731829455238,4.0004177839447665,CPG,SSPG,0.125,0.41837182614436996,2.842812510069445,-0.15294840061452097,6,0.6977942642861019,363.9,6.4,18.1
0.297,0.302,U8,MN8014,4.001282485065687,4.007108278324206,CPG,SSPG,0.125,0.4230144869588144,2.792470690132336,-0.1541801453730849,4,0.6848607547597902,368.3,6.2,18.5
0.297,0.302,U8,MN8014,4.001210694824129,4.161497173579025,CPG,SSPG,0.125,0.4179579382594599,2.9118000794281524,-0.11967509439087332,0,0.683738810736422,321.2,6.5,20.7
0.297,0.302,U8,MN8014,4.000002665916575,4.3596260086910235,CPG,SSPG,0.125,0.42056337787823944,2.810871260037064,-0.15967683284074008,5,0.6895774053264407,334.0,6.4,17.8
0.297,0.302,U8,MN8014,4.015695205062847,4.048682906138204,CPG,SSPG,0.125,0.4157199594229287,2.433405239660452,-0.04542338404415891,4,0.7045285952337483,331.8,6.4,18.2
0.297,0.302,U8,MN8014,4.00238538339407,4.295066302668569,CPG,CPG,0.125,0.42113435939664867,2.8574202921083525,-0.13958344708217396,3,0.7017692154872375,317.5,6.5,17.6
0.297,0.302,U8,MN8014,4.000519169226685,4.218727222965077,CPG,SSPG,0.125,0.41743246899309033,2.998124411780967,-0.18820274254462777,4,0.6986525684010179,309.2,6.2,18.8
0.297,0.302,U8,MN8014,4.001800837109286,4.018406015746584,CPG,SSPG,0.125,0.4191233761414235,2.8201191074980647,-0.1409453013115145,5,0.685102621473435,341.5,6.1,19.1
0.297,0.302,U8,MN8014,4.0063694538079675,4.049651615957324,CPG,SSPG,0.125,0.4231673611997795,2.681843649906814,-0.16561187568349833,2,0.6881860111585305,333.3,6.4,17.8
0.297,0.302,U8,MN8014,4.005916917155712,4.213237163168541,CPG,SSPG,0.125,0.41692538675620494,2.8615281327831985,-0.14935353221237913,7,0.6821166516026609,328.6,6.5,18.2
