thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,ori_l,ori_theta,best_index,best_cost,ac1,ac2,ac3
0.297,0.302,U12,MN8014,14.90581410671046,7.181294985063606,CPG,SSPG,0.125,0.3632368246065512,4.669128193751017,0.7636569268972244,0,8.434897370902737,493.8,5.2,28.7
0.297,0.302,U10,MN8014,17.84754022690598,6.06896300526768,WPG,SSPG,0.125,0.34655938103160316,4.1437072493804745,0.4344831798541757,5,4.4806843312066285,450.2,6.5,30.0
0.297,0.302,U10,MN8014,16.910647815557972,5.043267021878086,WPG,SSPG,0.125,0.3467434457855734,5.375260809127129,0.19158170492438664,2,1.9049783799125066,406.6,7.2,31.7
0.297,0.302,U10,MN8014,14.28513096065727,4.84692524385016,CPG,SSPG,0.125,0.3466904697530866,6.737951033617438,0.11378793846161561,5,1.5988996368699322,431.4,6.1,28.6
0.297,0.302,U10,MN8014,14.159454399934774,5.124785089422881,CPG,SSPG,0.125,0.35213951586883735,4.361516184943077,-0.12183896869466593,3,1.8398837927297098,399.9,5.2,30.1
0.297,0.302,U8,VT8020,13.828780560266683,5.545816281412697,CPG,SSPG,0.125,0.36994320095436206,5.330632332470491,0.188234671721911,6,2.757080201121914,401.5,3.9,29.7
0.297,0.302,U8,VT8020,18.499326376723282,4.7612815710883085,WPG,SSPG,0.125,0.4085064933564533,5.468694068817559,0.5730089471826987,2,1.4776290860852175,400.7,4.4,30.2
0.297,0.302,U8,VT8020,16.90714016812479,4.000612546787029,WPG,CPG,0.125,0.37046125599412805,7.197609605080605,0.4626176673306279,7,0.9401475339874175,379.2,5.4,29.6
0.297,0.302,U8,MAD_M6C12,14.71368831417101,5.869585439141652,CPG,SSPG,0.125,0.39531758440777753,5.885937949593623,0.3475630845340163,2,-0.17959479821730362,358.0,5.6,21.2
0.297,0.302,U8,MAD_M6C12,14.276225188799794,4.8405431893337125,CPG,SSPG,0.125,0.3888517945526478,5.27620933128082,0.4048485618315061,6,-0.17973521544768722,331.0,3.9,20.6
0.297,0.302,U8,MAD_M6C12,13.14588094288195,4.00712642204931,CPG,CPG,0.125,0.42338640388715,5.545108055691199,0.5374514009961984,5,-0.3677689233553805,515.8,4.9,21.9
0.297,0.302,U8,MAD_M6C12,12.534102734944023,4.120525614349947,CPG,CPG,0.125,0.40011136994888313,7.078781659084477,1.0462539256703165,3,-0.24129092592953505,397.0,3.9,20.9
0.297,0.302,U8,MAD_M6C12,17.068066794409077,5.037428837071742,WPG,SSPG,0.125,0.4209283701993414,5.3432709834606795,0.8511576299906896,1,-0.37271921941999686,389.9,4.5,23.7
0.297,0.302,U8,MAD_M6C12,18.14140991442953,4.6373766007376425,WPG,SSPG,0.125,0.4159134582158546,3.22421331732776,0.6930236525319038,5,-0.3252723788022207,501.2,4.7,20.6
0.297,0.302,U8,MAD_M6C12,17.55449111487789,5.565438684194816,WPG,CPG,0.125,0.4209876307234142,5.064012086255526,0.3508672928040468,1,-0.26116664618134244,607.4,5.2,23.3
0.297,0.302,U8,MAD_M6C12,17.130981588156537,4.612567184717836,WPG,SSPG,0.125,0.4401663265754828,4.074585522913207,0.8508447102869718,2,-0.3538737570753838,622.2,6.1,27.3
0.297,0.302,U8,MAD_M6C12,18.61023240296244,5.440556144593259,WPG,SSPG,0.125,0.40263555016747987,3.075092161414653,0.9578390365598803,0,-0.3614736822448519,611.9,8.3,27.0
0.297,0.302,U8,MAD_M6C12,18.3564068073375,4.234642979410425,WPG,CPG,0.125,0.44373508548448826,3.8315381212782174,0.9330033434898648,6,-0.27009652662823136,693.2,6.8,23.8
0.297,0.302,U8,MAD_M6C12,22.3076400732267,5.22811520061853,WPG,SSPG,0.125,0.4123971981793399,4.754942847027646,1.3465779418260588,3,-0.23526317238092886,594.4,7.7,27.7
0.297,0.302,U8,MAD_M6C12,18.482412745555592,4.133690777630209,WPG,CPG,0.125,0.4135571409072568,3.274198353165343,1.4178866409704174,6,-0.2901223992301549,741.4,5.7,26.5
0.297,0.302,U8,MAD_M6C12,16.47369848028181,4.069881310838894,CPG,CPG,0.125,0.43117281003011143,3.653218529470546,1.5707294750539584,2,-0.31082042617079253,668.0,6.1,24.5
0.297,0.302,U8,MAD_M6C12,13.437363703508248,4.571935551632932,CPG,SSPG,0.125,0.40756142660654604,3.2210428242689364,1.3725561216584983,0,-0.30340254164187375,792.4,6.5,23.9
0.297,0.302,U8,MAD_M6C12,14.916351020069635,5.312758056313755,CPG,CPG,0.125,0.4030307205397059,4.684452763116043,1.0641692872068824,5,-0.2514910717970551,845.6,7.0,28.7
0.297,0.302,U8,MAD_M6C12,17.424393055839808,4.410400956074042,WPG,SSPG,0.125,0.42476274308045003,4.019815381523112,1.2600813628911625,1,-0.45234541118540683,852.8,7.2,29.3
0.297,0.302,U8,MAD_M6C12,17.38785437717376,4.003634464685429,WPG,CPG,0.125,0.4213743140478595,6.238123309135969,1.3635627276776416,0,-0.33238229945543196,666.5,5.7,30.3
